"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",0.999861716181368,2.28385146201639e-06,0.00013599996717009,1,"Lipids","Lysolipid","Fasting"
"1-linoleoyl-gpe (18:2)",1.4861479090415e-06,0.999924912320787,7.36015313037572e-05,2,"Lipids","Lysolipid","Fasting"
"10-undecenoate (11:1n1)",0.999999999982825,8.9695021765102e-14,1.70857321374896e-11,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"13-hode + 9-hode",0.999814141748518,3.24285065732117e-06,0.000182615400825043,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"15-methylpalmitate",0.999981217643765,2.2667366629717e-07,1.85556825684453e-05,1,"Lipids","Fatty Acid, Branched","Fasting"
"16-hydroxypalmitate",0.999999947251529,3.70889187349205e-10,5.23775822891234e-08,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"17-methylstearate",0.999996944964544,2.97012536629603e-08,3.02533420191033e-06,1,"Lipids","Fatty Acid, Branched","Fasting"
"2-hydroxy-3-methylvalerate",4.34136698485171e-05,0.000280843837549797,0.999675742492602,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.999999999996865,1.23034756826402e-14,3.12264409021114e-12,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","Fasting"
"2,3-dihydroxyisovalerate",1.5522057505575e-05,0.986392902667996,0.0135915752744985,2,"Xenobiotics","Food Component/Plant","Fasting"
"3-(4-hydroxyphenyl)lactate",1.02421926962604e-06,0.999464257835652,0.000534717945078756,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"3-aminoisobutyrate",0.999936432360813,9.18893852360437e-07,6.26487453343336e-05,1,"Nucleotides","Pyrimidine Metabolism, Thymine containing","Fasting"
"3-hydroxy-3-methylglutarate",1.3088735301703e-06,0.99993272941417,6.59617122994895e-05,2,"Lipids","Mevalonate Metabolism","Fasting"
"3-hydroxybutyrate (bhba)",0.999999997604376,1.44730403258462e-11,2.38115140770895e-09,1,"Lipids","Ketone Bodies","Fasting"
"3-hydroxybutyrylcarnitine (1)",0.999999999999242,3.7464114122924e-15,7.54532701712638e-13,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"3-hydroxybutyrylcarnitine (2)",0.99690265199422,3.00959221633262e-06,0.00309433841356329,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"3-hydroxydecanoate",0.0152974653504308,8.35736937347091e-05,0.984618960955834,3,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxyhippurate",0.312748636477193,0.000158002550850038,0.687093360971957,3,"Xenobiotics","Benzoate Metabolism","Fasting"
"3-hydroxylaurate",0.999999989355051,3.33681161560256e-11,1.0611580668876e-08,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxymyristate",0.999986685192147,1.53558685049346e-07,1.31612491676463e-05,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxyoctanoate",1.22853116819022e-07,0.99995194066146,4.79364854232801e-05,2,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxypyridine sulfate",0.272298836190011,0.000158517259952794,0.727542646550036,3,"Xenobiotics","Chemical","Fasting"
"3-indoxyl sulfate",5.85556941635939e-06,0.999757809939288,0.000236334491295487,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"3-methyl-2-oxobutyrate",0.429167692844897,0.000150308220145625,0.570681998934957,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"3-methyl-2-oxovalerate",0.000319447265983901,2.91606946037742e-05,0.999651392039412,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"3-phenylpropionate (hydrocinnamate)",2.6277796212309e-05,0.973874593169219,0.0260991290345689,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.000245174749703474,0.194572254381134,0.805182570869162,3,"Lipids","Steroid","Fasting"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.00930164969485488,7.19727552247548e-05,0.99062637754992,3,"Lipids","Steroid","Fasting"
"4-hydroxyhippurate",8.46967066152901e-14,0.999999999987946,1.19691379972539e-11,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"4-methyl-2-oxopentanoate",0.946486685363301,3.00586861981717e-05,0.0534832559505008,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
