"Metabolite","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Assigned_Cluster","Super_Pathway","Sub_Pathway"
"1-docosahexaenoyl-gpe (22:6)",3.03611513711187e-07,0.728778167445317,4.56331330736887e-05,0.268179586818968,0.000539594581970195,0.000196159932825966,9.91069818209973e-06,0.0022506437781485,2,"Lipids","Lysolipid"
"1-linoleoyl-gpe (18:2)",1.0979491646096e-09,0.00096536880016158,4.9160531018591e-06,0.00233462505452185,0.00372096709865151,7.65897920172654e-05,2.53608742347256e-07,0.992897278494854,8,"Lipids","Lysolipid"
"1-oleoyl-gpe (18:1)",6.37233836394361e-11,6.26116153682914e-06,6.0548377948777e-07,1.3361807528408e-05,0.00239192575689343,1.14210859524135e-05,2.16695511497515e-08,0.997576402971035,8,"Lipids","Lysolipid"
"10-undecenoate (11:1n1)",1.2829998258639e-10,1.07378823909499e-06,4.35971457781508e-06,2.011748579253e-06,0.920427750615912,8.62683366582794e-05,8.08066024567744e-08,0.0794784548611314,5,"Lipids","Medium Chain Fatty Acid"
"13-hode + 9-hode",1.38229786999633e-08,2.65007273978483e-06,0.0230987861072769,4.24284706969206e-06,0.955787516960207,0.0187804726984787,4.30521114474342e-05,0.00228326537980192,5,"Lipids","Fatty Acid, Monohydroxy"
"15-methylpalmitate",5.81651374188721e-11,4.68405750876338e-06,6.00516835807004e-07,9.88525518278857e-06,0.00292904893437022,1.1501378252712e-05,2.0620311032842e-08,0.997044259179373,8,"Lipids","Fatty Acid, Branched"
"16-hydroxypalmitate",3.67532851045955e-09,0.0084293807365964,1.27559281323176e-05,0.0214710516406756,0.00603293583344896,0.000183152910167765,7.41880216942805e-07,0.963869977395433,8,"Lipids","Fatty Acid, Monohydroxy"
"17-methylstearate",0.999999448739535,2.51854735504143e-10,4.15431226619441e-08,3.01701117189055e-10,4.06380888874834e-09,6.83981362066495e-09,4.96585276320184e-07,1.67488831977507e-09,1,"Lipids","Fatty Acid, Branched"
"2-hydroxy-3-methylvalerate",0.000417979610633028,6.46341123033767e-07,0.00241691402385632,8.24720760497908e-07,3.86226574104353e-05,7.9095582238987e-05,0.997036239211712,9.67785226615224e-06,7,"Amino Acids","Leucine, Isoleucine and Valine Metabolism"
"2-hydroxybutyrate/2-hydroxyisobutyrate",1.32356301109439e-08,4.4807908295977e-07,0.989147104002007,6.79074232681565e-07,0.00716368743572129,0.00343257711914958,0.000139100184781651,0.000116390869394408,3,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism"
"2,3-dihydroxyisovalerate",1.40624581433849e-11,0.98211354952208,6.17596781946549e-09,0.0178845757257515,1.874265416539e-07,4.02020557389266e-08,8.84036209733333e-10,1.64004950475096e-06,2,"Xenobiotics","Food Component/Plant"
"3-(4-hydroxyphenyl)lactate",0.000179655227804577,0.52248773699525,0.00558411683332331,0.383176050527028,0.0233279858366096,0.013850766441172,0.00210729665693853,0.0492863914818742,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism"
"3-aminoisobutyrate",6.75792236525985e-08,6.42015134086943e-06,0.405440550934308,1.00407707659417e-05,0.535804503961894,0.0551682741452952,0.000327014937417143,0.00324312751975423,5,"Nucleotides","Pyrimidine Metabolism, Thymine containing"
"3-hydroxy-3-methylglutarate",5.16719872104123e-10,6.57480886226368e-09,0.99991926080361,9.70117297064412e-09,3.2120721434339e-05,3.39524455182644e-05,1.36379998657212e-05,1.01123686948851e-06,3,"Lipids","Mevalonate Metabolism"
"3-hydroxybutyrate (bhba)",1.52693829338918e-11,6.20163807140417e-08,8.60413136866623e-07,1.12271965000467e-07,0.998385797092281,1.51190424867573e-05,1.21201704470071e-08,0.00159803702831028,5,"Lipids","Ketone Bodies"
"3-hydroxybutyrylcarnitine (1)",8.51196892884899e-10,1.24799789753269e-08,0.99983843806098,1.84825545786361e-08,7.11074877729272e-05,6.89678334552548e-05,1.93954503257999e-05,2.05935373549303e-06,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)"
"3-hydroxybutyrylcarnitine (2)",8.04167869856391e-12,0.986046405487216,3.66048563692182e-09,0.0139524120907109,1.1513361046516e-07,2.4168722745859e-08,5.16421095835873e-10,1.03893479119002e-06,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)"
"3-hydroxydecanoate",9.03405711152137e-11,5.56363897299822e-10,0.999991107115195,8.0622702960887e-10,1.3363152167833e-06,1.96808859810233e-06,5.52575686246646e-06,6.12711964258895e-08,3,"Lipids","Fatty Acid, Monohydroxy"
"3-hydroxyhippurate",1.49102101887371e-11,6.00472476161855e-08,8.45556858690221e-07,1.08664781011949e-07,0.998455443681061,1.48269965503292e-05,1.18691310180523e-08,0.0015287031694601,5,"Xenobiotics","Benzoate Metabolism"
"3-hydroxylaurate",1.04337263735888e-08,0.142008424768542,2.46210187731315e-05,0.390036418849243,0.00611908339344843,0.000308956364502624,1.7107160242452e-06,0.46150077445574,8,"Lipids","Fatty Acid, Monohydroxy"
"3-hydroxymyristate",2.46407654227427e-10,2.93284708170711e-06,6.71538182479392e-06,5.59117155588168e-06,0.641980145952395,0.00013617152572617,1.39968773236011e-07,0.357868302906236,5,"Lipids","Fatty Acid, Monohydroxy"
"3-hydroxyoctanoate",1.8725601735862e-09,6.37317264446533e-07,0.00132494768347366,1.04144088436102e-06,0.994576455023762,0.00319193002478154,4.24390046081627e-06,0.000900742736812684,5,"Lipids","Fatty Acid, Monohydroxy"
"3-hydroxypyridine sulfate",3.33663771953802e-09,9.71120303448231e-07,0.00294276298382758,1.57790270233557e-06,0.990416114114543,0.0054378635149238,8.21853996135681e-06,0.00119248848710031,5,"Xenobiotics","Chemical"
"3-indoxyl sulfate",9.9337203307609e-09,3.04803511319768e-07,0.993280846080257,4.60636126319084e-07,0.00426424334157928,0.00226586583103829,0.000113478105860859,7.47912679066056e-05,3,"Amino Acids","Tryptophan Metabolism"
