"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",0.999995178935734,4.80295262678729e-06,1.8111639032809e-08,1,"Lipids","Lysolipid","OLTT"
"1-linoleoyl-gpe (18:2)",3.49965519520827e-09,8.78089231128261e-07,0.999999118411114,3,"Lipids","Lysolipid","OLTT"
"10-undecenoate (11:1n1)",1.5026131016226e-11,0.999999999842874,1.42099494637274e-10,2,"Lipids","Medium Chain Fatty Acid","OLTT"
"13-hode + 9-hode",0.99999290833713,6.95965761605131e-06,1.32005253716259e-07,1,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"15-methylpalmitate",0.999999416444234,5.74990833411509e-07,8.5649324109333e-09,1,"Lipids","Fatty Acid, Branched","OLTT"
"16-hydroxypalmitate",0.99993680829355,6.16258693551399e-05,1.56583709523221e-06,1,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"17-methylstearate",0.999942943293884,5.68903904895225e-05,1.66315626113176e-07,1,"Lipids","Fatty Acid, Branched","OLTT"
"2-hydroxy-3-methylvalerate",5.44236144301124e-11,1.87927244271828e-08,0.999999981152852,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"2-hydroxybutyrate/2-hydroxyisobutyrate",1.44266036134916e-05,0.999983598492587,1.97490379947377e-06,2,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","OLTT"
"2,3-dihydroxyisovalerate",8.8057241379357e-07,0.999998826944582,2.92483004750851e-07,2,"Xenobiotics","Food Component/Plant","OLTT"
"3-(4-hydroxyphenyl)lactate",2.95262465012745e-08,0.999998660064975,1.31040877858679e-06,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","OLTT"
"3-aminoisobutyrate",9.02204482185459e-08,0.999999856394815,5.3384736655639e-08,2,"Nucleotides","Pyrimidine Metabolism, Thymine containing","OLTT"
"3-hydroxy-3-methylglutarate",7.94065756660632e-10,2.27192894332857e-07,0.99999977201304,3,"Lipids","Mevalonate Metabolism","OLTT"
"3-hydroxybutyrate (bhba)",0.91876011039748,0.0811756070076866,6.42825948330924e-05,1,"Lipids","Ketone Bodies","OLTT"
"3-hydroxybutyrylcarnitine (1)",0.000132857891638693,0.99985944822492,7.6938834411902e-06,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"3-hydroxybutyrylcarnitine (2)",0.00881511706270218,0.991118511926616,6.63710106821169e-05,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"3-hydroxydecanoate",4.95351128532996e-14,0.999999999999771,1.79779683084181e-13,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"3-hydroxyhippurate",0.0110409967373916,0.988885713628641,7.32896339677005e-05,2,"Xenobiotics","Benzoate Metabolism","OLTT"
"3-hydroxylaurate",0.99930992652774,0.000688637088455267,1.43638380452283e-06,1,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"3-hydroxymyristate",0.999999745371168,2.53434480363554e-07,1.19435162312115e-09,1,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"3-hydroxyoctanoate",1.38442493156021e-07,2.24680139222913e-05,0.999977393543585,3,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"3-hydroxypyridine sulfate",0.999820500945614,0.00017904580072897,4.53253657244749e-07,1,"Xenobiotics","Chemical","OLTT"
"3-indoxyl sulfate",4.10317944652774e-07,0.00125047980972532,0.99874910987233,3,"Amino Acids","Tryptophan Metabolism","OLTT"
"3-methyl-2-oxobutyrate",0.00125864282267385,0.998715167654147,2.61895231795523e-05,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"3-methyl-2-oxovalerate",2.37031395356188e-06,0.998974134707609,0.00102349497843746,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"3-phenylpropionate (hydrocinnamate)",3.48657613488745e-08,6.51917960419319e-05,0.999934773338197,3,"Amino Acids","Phenylalanine and Tyrosine Metabolism","OLTT"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",6.14756510476127e-06,0.993892557853645,0.00610129458125009,2,"Lipids","Steroid","OLTT"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.0294825797559721,0.970407126079922,0.000110294164106026,2,"Lipids","Steroid","OLTT"
"4-hydroxyhippurate",2.32984333930701e-07,0.000624290432296342,0.99937547658337,3,"Xenobiotics","Benzoate Metabolism","OLTT"
"4-methyl-2-oxopentanoate",2.6583366828248e-05,0.999970503260804,2.91337236817171e-06,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"5-dodecenoate (12:1n7)",0.999998979828663,1.00448646250954e-06,1.56848744925067e-08,1,"Lipids","Medium Chain Fatty Acid","OLTT"
"acetoacetate",0.0116410987651611,0.988283903803494,7.49974313449322e-05,2,"Lipids","Ketone Bodies","OLTT"
"acetylcarnitine",0.999529175421924,0.000469786324841055,1.03825323472898e-06,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"adipoylcarnitine",9.55424661789602e-10,0.999999981878649,1.71659260595848e-08,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"alanine",6.88139156103201e-06,0.992349780542075,0.00764333806636412,2,"Amino Acids","Alanine and Aspartate Metabolism","OLTT"
"alpha-hydroxyisocaproate",0.00884731800344245,0.991086203328353,6.6478668204292e-05,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"alpha-ketobutyrate",2.93036492036177e-07,0.999965807410282,3.38995532264415e-05,2,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","OLTT"
"c0 (carnitine)",0.0027754440402774,0.972828742989829,0.0243958129698937,2,"Lipids","Carnitine Metabolism","OLTT"
"c12 (dodecanoylcarnitine)",0.00061550729956043,0.991757096719402,0.00762739598103727,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c14 (tetradecanoylcarnitine)",0.0360827933280366,0.811541994823275,0.152375211848689,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c14:1 (tetradecenoylcarnitine)",6.28153640405911e-09,0.999999845896953,1.47821510434769e-07,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c14:1-oh (hydroxytetradecenoylcarnitine)",5.01444256342989e-06,0.999898491498463,9.64940589739503e-05,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c14:2 (tetradecadienylcarnitine)",0.000219060252711197,0.996775939178456,0.00300500056883277,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c16:2 (hexadecadienylcarnitine)",2.43758121021272e-08,0.999999410369848,5.65254340092047e-07,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c18:1 (octadecenoylcarnitine)",0.000159549774796819,0.99756139097795,0.00227905924725313,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c2 (acetylcarnitine)",0.0148023228368337,0.898181152029786,0.08701652513338,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"c3 (propionylcarnitine)",2.85180325016932e-09,0.999999929773199,6.73749976003174e-08,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","OLTT"
