"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",0.173113016117044,0.670853928353383,0.156033055529573,2,"Lipids","Lysolipid","OLTT"
"1-linoleoyl-gpe (18:2)",0.326565717184234,0.284856970232063,0.388577312583703,3,"Lipids","Lysolipid","OLTT"
"10-undecenoate (11:1n1)",0.606048696156325,0.186779837455122,0.207171466388553,1,"Lipids","Medium Chain Fatty Acid","OLTT"
"13-hode + 9-hode",0.314552308399494,0.392919742301998,0.292527949298508,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"15-methylpalmitate",0.311005950598176,0.40110057089188,0.287893478509944,2,"Lipids","Fatty Acid, Branched","OLTT"
"16-hydroxypalmitate",0.318008744457258,0.384594632035338,0.297396623507404,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"17-methylstearate",0.268122423313481,0.491412408562005,0.240465168124514,2,"Lipids","Fatty Acid, Branched","OLTT"
"2-hydroxy-3-methylvalerate",0.324262517185703,0.280467444965334,0.395270037848963,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.386239630339186,0.314034366462721,0.299726003198093,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","OLTT"
"2,3-dihydroxyisovalerate",0.39873047775301,0.302976271102769,0.29829325114422,1,"Xenobiotics","Food Component/Plant","OLTT"
"3-(4-hydroxyphenyl)lactate",0.433216391985245,0.260586672097099,0.306196935917656,1,"Amino Acids","Phenylalanine and Tyrosine Metabolism","OLTT"
"3-aminoisobutyrate",0.40877239277027,0.294921254467577,0.296306352762153,1,"Nucleotides","Pyrimidine Metabolism, Thymine containing","OLTT"
"3-hydroxy-3-methylglutarate",0.325682670874526,0.283103288708934,0.391214040416541,3,"Lipids","Mevalonate Metabolism","OLTT"
"3-hydroxybutyrate (bhba)",0.323459218906867,0.393836291810687,0.282704489282446,2,"Lipids","Ketone Bodies","OLTT"
"3-hydroxybutyrylcarnitine (1)",0.376280097994105,0.323834595516522,0.299885306489374,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"3-hydroxybutyrylcarnitine (2)",0.3573899035628,0.345265388934016,0.297344707503184,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","OLTT"
"3-hydroxydecanoate",0.466737982332677,0.257440265433614,0.275821752233708,1,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"3-hydroxyhippurate",0.356362587846158,0.346546495042643,0.297090917111198,1,"Xenobiotics","Benzoate Metabolism","OLTT"
"3-hydroxylaurate",0.293368441360099,0.445265959000519,0.261365599639383,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"3-hydroxymyristate",0.264866064731499,0.495357547263277,0.239776388005224,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
