"metabolite","cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","metabolite_name","super_pathway"
1,3,0.00490065254446955,0.00383858676620238,0.863268966173926,4.88292000603396e-07,0.000108722083323225,0.127882584140078,"1-docosahexaenoyl-gpe (22:6)","Lipids"
2,5,5.21804838962516e-12,4.61416387907164e-10,2.26307142360944e-12,1.0711908223285e-09,0.999999998455989,3.92234962567058e-12,"1-linoleoyl-gpe (18:2)","Lipids"
3,3,0.00639825053206338,0.00314761001736371,0.989651980027483,1.2261937370396e-06,0.00027272883716306,0.000528204392190385,"10-undecenoate (11:1n1)","Lipids"
4,3,0.000137502179223805,8.53542246905874e-08,0.999855352951983,7.41637198877498e-11,6.3995118400252e-11,7.05937640921668e-06,"13-hode + 9-hode","Lipids"
5,3,1.53462674071589e-08,4.0456148950809e-10,0.999999954152627,4.3418345534556e-14,5.21274657079612e-13,3.00959795848245e-08,"15-methylpalmitate","Lipids"
6,3,2.01966997281554e-06,3.81504544662647e-11,0.9999669006519,7.64720405573414e-14,1.48008492522662e-12,3.10796384202623e-05,"16-hydroxypalmitate","Lipids"
7,3,6.35867166900393e-06,4.59128782536474e-08,0.999984471702385,5.58563969301939e-12,8.47238152031393e-11,9.12362275779837e-06,"17-methylstearate","Lipids"
8,1,0.997996457570482,0.00146401672107198,3.04267934759168e-05,8.02444121771095e-06,1.19783253360763e-05,0.00048909614841614,"2,3-dihydroxyisovalerate","Xenobiotics"
9,1,0.99999974232046,2.50862832323399e-13,6.64432938869491e-08,7.73199995600131e-16,6.51867086086247e-14,1.91235928783438e-07,"2-hydroxy-3-methylvalerate","Amino Acids"
10,4,3.60264315446725e-08,0.219006590235181,2.84106869161222e-07,0.780853547434365,0.00013950722863789,3.49685161291232e-08,"2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acids"
11,2,0.220137441467477,0.75437481122541,0.0116950660175937,0.0122560558608728,0.000852587619286906,0.00068403780936002,"3-(4-hydroxyphenyl)lactate","Amino Acids"
12,1,0.981822013173905,5.150189423049e-05,0.00318410891539468,3.55199228327991e-09,2.04446970553018e-08,0.0149423520197804,"3-aminoisobutyrate","Nucleotides"
13,4,1.32733977946414e-06,0.000879257481504701,1.00821328314435e-07,0.998458946734694,0.00066009976442727,2.67858266225047e-07,"3-hydroxy-3-methylglutarate","Lipids"
14,1,0.999970111392772,2.80211367843366e-12,5.58626405935179e-06,3.84186204730363e-15,1.18057925067502e-12,2.43023391818383e-05,"3-hydroxybutyrate (bhba)","Lipids"
15,1,0.999964047937869,5.33941938644844e-12,3.9724161371398e-08,1.16064463070585e-14,4.66917909363979e-13,3.59123321516217e-05,"3-hydroxybutyrylcarnitine (1)","Lipids"
16,1,0.999900718947961,1.64116833548031e-11,5.05913931821777e-07,3.30865230421776e-14,7.54691688097396e-12,9.87751141157598e-05,"3-hydroxybutyrylcarnitine (2)","Lipids"
