"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",2.57045638649788e-07,7.86227663912544e-08,0.999999664331595,3,"Lipids","Lysolipid","PAT"
"1-linoleoyl-gpe (18:2)",8.88120540102171e-07,0.999997369212293,1.74266716669671e-06,2,"Lipids","Lysolipid","PAT"
"10-undecenoate (11:1n1)",0.00236855249120372,0.000448620410414844,0.997182827098381,3,"Lipids","Medium Chain Fatty Acid","PAT"
"13-hode + 9-hode",0.00074311954611153,0.00352770461138257,0.995729175842506,3,"Lipids","Fatty Acid, Monohydroxy","PAT"
"15-methylpalmitate",0.00346693570405726,0.0383039427587175,0.958229121537225,3,"Lipids","Fatty Acid, Branched","PAT"
"16-hydroxypalmitate",9.78246704918716e-07,0.999997083191821,1.93856147380341e-06,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"17-methylstearate",2.88134221280442e-10,1.5999208823315e-10,0.999999999551874,3,"Lipids","Fatty Acid, Branched","PAT"
"2-hydroxy-3-methylvalerate",0.000231869992899831,4.81316472402195e-05,0.99971999835986,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"2-hydroxybutyrate/2-hydroxyisobutyrate",2.47635238798992e-05,5.84485680936327e-06,0.999969391619311,3,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","PAT"
"2,3-dihydroxyisovalerate",1.39637848529444e-06,0.999997770116135,8.33505379947327e-07,2,"Xenobiotics","Food Component/Plant","PAT"
"3-(4-hydroxyphenyl)lactate",6.41240447078333e-14,0.999999999999876,6.01201428046293e-14,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"3-aminoisobutyrate",0.00911121501407692,0.00172678179430014,0.989162003191623,3,"Nucleotides","Pyrimidine Metabolism, Thymine containing","PAT"
"3-hydroxy-3-methylglutarate",2.04739260864362e-07,0.999999443318193,3.51942545945332e-07,2,"Lipids","Mevalonate Metabolism","PAT"
"3-hydroxybutyrate (bhba)",3.67465814990902e-11,1.69949991653636e-11,0.999999999946258,3,"Lipids","Ketone Bodies","PAT"
"3-hydroxybutyrylcarnitine (1)",3.33341781669937e-05,7.72929337446626e-06,0.999958936528459,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"3-hydroxybutyrylcarnitine (2)",7.18198770210516e-06,9.5362422427608e-06,0.999983281770055,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"3-hydroxydecanoate",2.642532469045e-06,3.00775684782726e-06,0.999994349710683,3,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxyhippurate",0.00417530814865841,0.0528683460602161,0.942956345791126,3,"Xenobiotics","Benzoate Metabolism","PAT"
"3-hydroxylaurate",0.000598750142411701,0.00259224134079121,0.996809008516797,3,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxymyristate",6.77708668633038e-09,4.44757247997661e-09,0.999999988775341,3,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxyoctanoate",1.34451832365594e-10,7.18308201929064e-11,0.999999999793717,3,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxypyridine sulfate",2.391815938413e-06,0.999992373569044,5.23461501776826e-06,2,"Xenobiotics","Chemical","PAT"
"3-indoxyl sulfate",9.19368208642449e-05,0.999864585151808,4.34780273276701e-05,2,"Amino Acids","Tryptophan Metabolism","PAT"
"3-methyl-2-oxobutyrate",0.000726683467361505,0.00341615010759801,0.99585716642504,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"3-methyl-2-oxovalerate",1.90284463015336e-09,1.16239006164171e-09,0.999999996934765,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"3-phenylpropionate (hydrocinnamate)",0.00149336645805435,0.0099119319414047,0.988594701600541,3,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.00674898209900333,0.828588345513332,0.164662672387665,2,"Lipids","Steroid","PAT"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.00369408950821057,0.938180798342978,0.0581251121488116,2,"Lipids","Steroid","PAT"
"4-hydroxyhippurate",3.96641808147076e-07,0.999998882421592,7.20936599868793e-07,2,"Xenobiotics","Benzoate Metabolism","PAT"
"4-methyl-2-oxopentanoate",2.78210027960147e-07,2.42757677204708e-07,0.999999479032295,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"5-dodecenoate (12:1n7)",5.60918234152798e-08,4.25340803035735e-08,0.999999901374096,3,"Lipids","Medium Chain Fatty Acid","PAT"
"acetoacetate",1.72458978713019e-08,5.99663552799891e-09,0.999999976757467,3,"Lipids","Ketone Bodies","PAT"
"acetylcarnitine",3.67520254469644e-05,0.999840813166835,0.000122434807717697,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"adipoylcarnitine",0.000403548742220549,8.14609724718464e-05,0.999514990285308,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"alanine",3.72264247218279e-09,0.999999991243108,5.03424902929655e-09,2,"Amino Acids","Alanine and Aspartate Metabolism","PAT"
"alpha-hydroxyisocaproate",0.000204346465980105,0.000596181588087865,0.999199471945932,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"alpha-ketobutyrate",0.00189341159702893,0.000360429443171167,0.9977461589598,3,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","PAT"
"c0 (carnitine)",0.999999999874303,4.60309282868376e-11,7.96657822867755e-11,1,"Lipids","Carnitine Metabolism","PAT"
"c12 (dodecanoylcarnitine)",0.999995802138816,1.78901219128029e-06,2.40884899246509e-06,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14 (tetradecanoylcarnitine)",0.999999999019034,3.55265171298381e-10,6.25700691642123e-10,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:1 (tetradecenoylcarnitine)",0.999999999998313,6.53759167628547e-13,1.03287774352524e-12,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:1-oh (hydroxytetradecenoylcarnitine)",0.999999685464415,1.302367147408e-07,1.84298870757301e-07,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:2 (tetradecadienylcarnitine)",0.999999630208797,1.53360851565926e-07,2.16430351654239e-07,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c16:2 (hexadecadienylcarnitine)",0.999999999997283,1.00896708848579e-12,1.70745228188005e-12,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
