"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",0.382934886474864,0.287625413425287,0.32943970009985,1,"Lipids","Lysolipid","Fasting"
"1-linoleoyl-gpe (18:2)",0.296892478630345,0.386645643871374,0.316461877498281,2,"Lipids","Lysolipid","Fasting"
"10-undecenoate (11:1n1)",0.435677216329593,0.255740087902284,0.308582695768123,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"13-hode + 9-hode",0.381535690274927,0.288628518583211,0.329835791141861,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"15-methylpalmitate",0.392027318071111,0.281370990724772,0.326601691204117,1,"Lipids","Fatty Acid, Branched","Fasting"
"16-hydroxypalmitate",0.414845287326374,0.2672653684848,0.317889344188826,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"17-methylstearate",0.399735833777547,0.276382484277117,0.323881681945336,1,"Lipids","Fatty Acid, Branched","Fasting"
"2-hydroxy-3-methylvalerate",0.301739310616125,0.331309522038628,0.366951167345247,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.472084739313738,0.237338356950919,0.290576903735344,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","Fasting"
"2,3-dihydroxyisovalerate",0.269508981300712,0.429224442353255,0.301266576346033,2,"Xenobiotics","Food Component/Plant","Fasting"
"3-(4-hydroxyphenyl)lactate",0.246814879292859,0.479724507916583,0.273460612790558,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"3-aminoisobutyrate",0.386548907231596,0.285086626580516,0.328364466187888,1,"Nucleotides","Pyrimidine Metabolism, Thymine containing","Fasting"
"3-hydroxy-3-methylglutarate",0.296638306561842,0.387081490292048,0.316280203146111,2,"Lipids","Mevalonate Metabolism","Fasting"
"3-hydroxybutyrate (bhba)",0.424268794549958,0.261927890146281,0.313803315303761,1,"Lipids","Ketone Bodies","Fasting"
"3-hydroxybutyrylcarnitine (1)",0.440889872755555,0.252995088388634,0.306115038855811,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"3-hydroxybutyrylcarnitine (2)",0.387099903481967,0.262428818609698,0.350471277908335,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"3-hydroxydecanoate",0.267107013118792,0.233545556706324,0.499347430174883,3,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxyhippurate",0.325576967992224,0.2636008046858,0.410822227321976,3,"Xenobiotics","Benzoate Metabolism","Fasting"
"3-hydroxylaurate",0.562892926310415,0.195210637685303,0.241896436004282,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxymyristate",0.393529942052174,0.28037772746231,0.326092330485515,1,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxyoctanoate",0.196177932436974,0.587527673244782,0.216294394318244,2,"Lipids","Fatty Acid, Monohydroxy","Fasting"
"3-hydroxypyridine sulfate",0.323370010975308,0.2630304073306,0.413599581694092,3,"Xenobiotics","Chemical","Fasting"
"3-indoxyl sulfate",0.299748434053047,0.381802236535328,0.318449329411625,2,"Amino Acids","Tryptophan Metabolism","Fasting"
"3-methyl-2-oxobutyrate",0.331005990496462,0.264792923439552,0.404201086063986,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"3-methyl-2-oxovalerate",0.295572818145107,0.28268048450781,0.421746697347083,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"3-phenylpropionate (hydrocinnamate)",0.272710047848075,0.421772450287469,0.305517501864456,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","Fasting"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.28995308518532,0.377893910617841,0.332153004196839,2,"Lipids","Steroid","Fasting"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.252379509182928,0.22313529807905,0.524485192738022,3,"Lipids","Steroid","Fasting"
"4-hydroxyhippurate",0.276369947044445,0.423984077666035,0.299645975289521,2,"Xenobiotics","Benzoate Metabolism","Fasting"
"4-methyl-2-oxopentanoate",0.361061741665617,0.266398279049743,0.37253997928464,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"5-dodecenoate (12:1n7)",0.375189771204527,0.293331735584213,0.331478493211261,1,"Lipids","Medium Chain Fatty Acid","Fasting"
"acetoacetate",0.482405189332919,0.232367113837501,0.285227696829579,1,"Lipids","Ketone Bodies","Fasting"
"acetylcarnitine",0.335614985819182,0.265573307598863,0.398811706581955,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"adipoylcarnitine",0.47146982548657,0.233764216367364,0.294765958146066,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"alanine",0.175816807546711,0.630516200891729,0.193666991561561,2,"Amino Acids","Alanine and Aspartate Metabolism","Fasting"
"alpha-hydroxyisocaproate",0.359850053317207,0.266478882249413,0.37367106443338,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","Fasting"
"alpha-ketobutyrate",0.531288615498443,0.208455499962726,0.260255884538831,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","Fasting"
"c0 (carnitine)",0.304407578473785,0.322437879832319,0.373154541693896,3,"Lipids","Carnitine Metabolism","Fasting"
"c12 (dodecanoylcarnitine)",0.328477723135269,0.332830459909701,0.338691816955029,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14 (tetradecanoylcarnitine)",0.329640603439692,0.332977955209107,0.337381441351201,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14:1 (tetradecenoylcarnitine)",0.322891539840774,0.331697926239213,0.345410533920014,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14:1-oh (hydroxytetradecenoylcarnitine)",0.320352446564408,0.330931141746693,0.348716411688898,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c14:2 (tetradecadienylcarnitine)",0.316573350215099,0.329483210371853,0.353943439413049,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c16:2 (hexadecadienylcarnitine)",0.322527078370945,0.331597885995799,0.345875035633257,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
"c18:1 (octadecenoylcarnitine)",0.312484877321521,0.327503558384747,0.360011564293732,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","Fasting"
