"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",0.415753828981632,0.31581305704315,0.268433113975218,1,"Lipids","Lysolipid","PAT"
"1-linoleoyl-gpe (18:2)",0.252573183753078,0.302411708216841,0.44501510803008,3,"Lipids","Lysolipid","PAT"
"10-undecenoate (11:1n1)",0.397169847249002,0.316200202552858,0.28662995019814,1,"Lipids","Medium Chain Fatty Acid","PAT"
"13-hode + 9-hode",0.254040405917273,0.490470334896211,0.255489259186516,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"15-methylpalmitate",0.258487239944931,0.46797387220909,0.273538887845979,2,"Lipids","Fatty Acid, Branched","PAT"
"16-hydroxypalmitate",0.253116639647043,0.303201022972332,0.443682337380625,3,"Lipids","Fatty Acid, Monohydroxy","PAT"
"17-methylstearate",0.357487308457144,0.356077591384039,0.286435100158817,1,"Lipids","Fatty Acid, Branched","PAT"
"2-hydroxy-3-methylvalerate",0.438914840740585,0.29723784371164,0.263847315547775,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.633102064321291,0.195902022469901,0.170995913208808,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","PAT"
"2,3-dihydroxyisovalerate",0.281860330071231,0.317634921093323,0.400504748835446,3,"Xenobiotics","Food Component/Plant","PAT"
"3-(4-hydroxyphenyl)lactate",0.256244176147172,0.296167531402667,0.447588292450162,3,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"3-aminoisobutyrate",0.380820216341643,0.322552473247994,0.296627310410363,1,"Nucleotides","Pyrimidine Metabolism, Thymine containing","PAT"
"3-hydroxy-3-methylglutarate",0.243270027679453,0.289489795522016,0.467240176798531,3,"Lipids","Mevalonate Metabolism","PAT"
"3-hydroxybutyrate (bhba)",0.369445417418122,0.346797170936157,0.283757411645721,1,"Lipids","Ketone Bodies","PAT"
"3-hydroxybutyrylcarnitine (1)",0.544874248659414,0.242775970744401,0.212349780596185,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"3-hydroxybutyrylcarnitine (2)",0.317698118376808,0.394186963420696,0.288114918202497,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"3-hydroxydecanoate",0.323807771288093,0.387402412307007,0.2887898164049,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxyhippurate",0.263118108318289,0.45634800134346,0.280533890338251,2,"Xenobiotics","Benzoate Metabolism","PAT"
"3-hydroxylaurate",0.26187410622849,0.476371242059341,0.261754651712168,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxymyristate",0.348303635356839,0.363758896113592,0.287937468529569,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxyoctanoate",0.359812864068089,0.35421375486186,0.285973381070051,1,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxypyridine sulfate",0.257831977721405,0.310272058642668,0.431895963635927,3,"Xenobiotics","Chemical","PAT"
"3-indoxyl sulfate",0.292678071090823,0.324182216852073,0.383139712057104,3,"Amino Acids","Tryptophan Metabolism","PAT"
"3-methyl-2-oxobutyrate",0.254952666865844,0.488805870332359,0.256241462801797,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"3-methyl-2-oxovalerate",0.352086408082555,0.360529712251776,0.287383879665669,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"3-phenylpropionate (hydrocinnamate)",0.198832356504399,0.59690510995388,0.204262533541721,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.281240597253526,0.384515852538564,0.334243550207909,2,"Lipids","Steroid","PAT"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.281219551374532,0.374060062798093,0.344720385827375,2,"Lipids","Steroid","PAT"
"4-hydroxyhippurate",0.247733903029356,0.295566862247311,0.456699234723333,3,"Xenobiotics","Benzoate Metabolism","PAT"
"4-methyl-2-oxopentanoate",0.334891668850161,0.376058327995742,0.289050003154097,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"5-dodecenoate (12:1n7)",0.341230447489957,0.370068988573716,0.288700563936328,2,"Lipids","Medium Chain Fatty Acid","PAT"
"acetoacetate",0.396197710655759,0.328178725652386,0.275623563691855,1,"Lipids","Ketone Bodies","PAT"
"acetylcarnitine",0.269568113898862,0.330798707435885,0.399633178665253,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"adipoylcarnitine",0.426272366893419,0.303272030576792,0.270455602529789,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"alanine",0.180601163021029,0.21250948512787,0.606889351851101,3,"Amino Acids","Alanine and Aspartate Metabolism","PAT"
"alpha-hydroxyisocaproate",0.285169495700912,0.437699700140565,0.277130804158523,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"alpha-ketobutyrate",0.400243689095469,0.314918451802382,0.284837859102148,1,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","PAT"
"c0 (carnitine)",0.323225628327827,0.34493813977125,0.331836231900923,2,"Lipids","Carnitine Metabolism","PAT"
"c12 (dodecanoylcarnitine)",0.327054111449084,0.340245840710475,0.332700047840441,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14 (tetradecanoylcarnitine)",0.322963444589106,0.345273527491918,0.331763027918976,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:1 (tetradecenoylcarnitine)",0.324598806153781,0.343211297419863,0.332189896426356,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:1-oh (hydroxytetradecenoylcarnitine)",0.326281263746471,0.341162622706689,0.33255611354684,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:2 (tetradecadienylcarnitine)",0.326323433355502,0.341112208879269,0.332564357765229,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c16:2 (hexadecadienylcarnitine)",0.32356278538015,0.344509532276491,0.331927682343359,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c18:1 (octadecenoylcarnitine)",0.323999915090278,0.343958318253144,0.332041766656578,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c2 (acetylcarnitine)",0.288145073563791,0.404167963523929,0.30768696291228,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c3 (propionylcarnitine)",0.325192287006291,0.342488594734058,0.332319118259651,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"c4 (butyrylcarnitine)",0.326271268837155,0.341182401587282,0.332546329575563,2,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"caprate (10:0)",0.270614355611858,0.435539769760928,0.293845874627214,2,"Lipids","Medium Chain Fatty Acid","PAT"
"choline",0.394129439199377,0.32953717943888,0.276333381361743,1,"Lipids","Phospholipid Metabolism","PAT"
"cis-aconitate",0.263040381562838,0.318699375032312,0.41826024340485,3,"Energy","TCA Cycle","PAT"
"cortisol",0.275079550197478,0.453769982508304,0.271150467294218,2,"Lipids","Steroid","PAT"
"deoxycholate",0.275899005412394,0.346113361707323,0.377987632880282,3,"Lipids","Secondary Bile Acid Metabolism","PAT"
"dodecanedioate",0.336230238086326,0.374765330578536,0.289004431335138,2,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"dopamine sulfate (2)",0.304632308984433,0.32934670393912,0.366020987076446,3,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"gamma-glutamylglycine",0.466851771115111,0.283365726304592,0.249782502580297,1,"Peptides","Gamma-glutamyl Amino Acid","PAT"
"gamma-glutamyltryptophan",0.401187525787819,0.314520143181417,0.284292331030764,1,"Peptides","Gamma-glutamyl Amino Acid","PAT"
"glycerol",0.263839386505323,0.303257712468265,0.432902901026411,3,"Lipids","Glycerolipid Metabolism","PAT"
"hexadecanedioate",0.307943509516903,0.405888723942468,0.286167766540629,2,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"hippurate",0.281586843106577,0.317447407707183,0.40096574918624,3,"Xenobiotics","Benzoate Metabolism","PAT"
"indoleacetylglutamine",0.255326048482427,0.306461085665342,0.438212865852231,3,"Amino Acids","Tryptophan Metabolism","PAT"
"indolepropionate",0.18450579120474,0.216791986272799,0.598702222522461,3,"Amino Acids","Tryptophan Metabolism","PAT"
"isobutyrylcarnitine",0.299084768487382,0.327224634758936,0.373690596753682,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"laurate (12:0)",0.237657421697861,0.515391581322066,0.246950996980074,2,"Lipids","Medium Chain Fatty Acid","PAT"
"lysopc a c14:0",0.315436034987648,0.355705801911517,0.328858163100835,2,"Lipids","Lysolipid","PAT"
"lysopc a c16:1",0.295133489123744,0.390610725379365,0.31425578549689,2,"Lipids","Lysolipid","PAT"
"lysopc a c18:2",0.273839874173041,0.432941872011581,0.293218253815378,2,"Lipids","Lysolipid","PAT"
"lysopc a c20:4",0.31290118056106,0.359548388479323,0.327550430959618,2,"Lipids","Lysolipid","PAT"
"malate",0.298699161981603,0.327059475165472,0.374241362852925,3,"Energy","TCA Cycle","PAT"
"methyl-4-hydroxybenzoate sulfate",0.499957875519013,0.267697299274596,0.232344825206392,1,"Xenobiotics","Benzoate Metabolism","PAT"
"methylmalonate (mma)",0.231343013970376,0.270245252446193,0.498411733583431,3,"Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","PAT"
"myristoleoylcarnitine",0.477362339289486,0.278013897570952,0.244623763139561,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"myristoylcarnitine",0.460477585253957,0.286581412688511,0.252941002057532,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"n-acetylglutamate",0.286715153099569,0.320786664085092,0.392498182815339,3,"Amino Acids","Glutamate Metabolism","PAT"
"n-acetylglycine",0.410418855259975,0.310518005081191,0.279063139658833,1,"Amino Acids","Glycine, Serine and Threonine Metabolism","PAT"
"n-acetylkynurenine (2)",0.237547537181696,0.276986154886754,0.48546630793155,3,"Amino Acids","Tryptophan Metabolism","PAT"
"n-acetyltryptophan",0.294159591351481,0.324942075361578,0.380898333286941,3,"Amino Acids","Tryptophan Metabolism","PAT"
"o-methylcatechol sulfate",0.257269075893521,0.470933089311311,0.271797834795168,2,"Xenobiotics","Benzoate Metabolism","PAT"
"octadecanedioate",0.54733562305829,0.241973238898382,0.210691138043328,1,"Lipids","Fatty Acid, Dicarboxylate","PAT"
"oleoylcarnitine",0.472964891181492,0.280259853704941,0.246775255113567,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"ornithine",0.473516040559895,0.279978873425048,0.246505086015057,1,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
"palmitoylcarnitine",0.405643577487348,0.312611413497902,0.281745009014749,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"pc aa c36:1",0.302595447146223,0.376831836761915,0.320572716091862,2,"Lipids","Diacylphosphatidylcholine","PAT"
"pc aa c36:2",0.317683025700878,0.352433562159698,0.329883412139424,2,"Lipids","Diacylphosphatidylcholine","PAT"
"phenylacetylcarnitine",0.281032243841652,0.388094937044412,0.330872819113936,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"phenyllactate (pla)",0.382891834903692,0.337132021390951,0.279976143705357,1,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"phosphate",0.29713533068722,0.326366059362123,0.376498609950657,3,"Energy","Oxidative Phosphorylation","PAT"
"piperine",0.244561195766268,0.284412952418365,0.471025851815367,3,"Xenobiotics","Food Component/Plant","PAT"
"pregnenolone sulfate",0.281019171940833,0.370945943027757,0.348034885031409,2,"Lipids","Steroid","PAT"
"pro-hydroxy-pro",0.394290287058831,0.317378355744383,0.288331357196786,1,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
"proline",0.308642866091595,0.366401415736235,0.32495571817217,2,"Amino Acids","Urea cycle; Arginine and Proline Metabolism","PAT"
