"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",1.81433161208833e-08,0.999995170093597,4.81176308682707e-06,2,"Lipids","Lysolipid","OLTT"
"1-linoleoyl-gpe (18:2)",0.999999117732535,3.50232815759519e-09,8.78765136928704e-07,1,"Lipids","Lysolipid","OLTT"
"10-undecenoate (11:1n1)",1.42460787039899e-10,1.50572495295387e-11,0.999999999842482,3,"Lipids","Medium Chain Fatty Acid","OLTT"
"13-hode + 9-hode",1.3188166430075e-07,0.999992914692203,6.95342613229615e-06,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"15-methylpalmitate",8.55286649137904e-09,0.999999417239653,5.74207480777604e-07,2,"Lipids","Fatty Acid, Branched","OLTT"
"16-hydroxypalmitate",1.5648509666058e-06,0.999936845952834,6.1589196199089e-05,2,"Lipids","Fatty Acid, Monohydroxy","OLTT"
"17-methylstearate",1.66546662919648e-07,0.999942858686463,5.69747668742059e-05,2,"Lipids","Fatty Acid, Branched","OLTT"
"2-hydroxy-3-methylvalerate",0.999999981124444,5.45056305720255e-11,1.88210509352178e-08,1,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","OLTT"
"2-hydroxybutyrate/2-hydroxyisobutyrate",1.9737236940495e-06,1.44106013120117e-05,0.999983615674994,3,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","OLTT"
"2,3-dihydroxyisovalerate",2.92235195666275e-07,8.79388533561868e-07,0.999998828376271,3,"Xenobiotics","Food Component/Plant","OLTT"
"3-(4-hydroxyphenyl)lactate",1.31203849411551e-06,2.95490336222848e-08,0.999998658412472,3,"Amino Acids","Phenylalanine and Tyrosine Metabolism","OLTT"
"3-aminoisobutyrate",5.33242690591366e-08,9.00741061152669e-08,0.999999856601625,3,"Nucleotides","Pyrimidine Metabolism, Thymine containing","OLTT"
