"metabolite","X1","X2","X3","Assigned_Cluster","super_pathway","sub_pathway","Challenge"
"1-docosahexaenoyl-gpe (22:6)",5.1372687871961e-07,0.000699032162370028,0.999300454110751,3,"Lipids","Lysolipid","PAT"
"1-linoleoyl-gpe (18:2)",0.998837082300503,0.00116144835498916,1.46934450807786e-06,1,"Lipids","Lysolipid","PAT"
"10-undecenoate (11:1n1)",5.67723011701693e-07,5.00438381625534e-05,0.999949388438826,3,"Lipids","Medium Chain Fatty Acid","PAT"
"13-hode + 9-hode",7.18308513743596e-08,0.999999775821408,1.52347740626995e-07,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"15-methylpalmitate",6.70236914063607e-07,0.999999048325858,2.81437228348077e-07,2,"Lipids","Fatty Acid, Branched","PAT"
"16-hydroxypalmitate",0.998723299179194,0.00127511261803699,1.58820276878123e-06,1,"Lipids","Fatty Acid, Monohydroxy","PAT"
"17-methylstearate",6.44845624956192e-05,0.792787024095825,0.207148491341679,2,"Lipids","Fatty Acid, Branched","PAT"
"2-hydroxy-3-methylvalerate",1.55869484002808e-11,3.40993980175726e-09,0.999999996574473,3,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"2-hydroxybutyrate/2-hydroxyisobutyrate",1.04000441441818e-11,4.65973111623782e-09,0.999999995329869,3,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","PAT"
"2,3-dihydroxyisovalerate",0.99999926407696,7.28135330204707e-07,7.7877096386918e-09,1,"Xenobiotics","Food Component/Plant","PAT"
"3-(4-hydroxyphenyl)lactate",0.999999999720629,2.78170690062699e-10,1.200692814963e-12,1,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"3-aminoisobutyrate",1.96391556620564e-05,0.000919336072920574,0.999061024771417,3,"Nucleotides","Pyrimidine Metabolism, Thymine containing","PAT"
"3-hydroxy-3-methylglutarate",0.999700315785328,0.000299217204898346,4.67009774001169e-07,1,"Lipids","Mevalonate Metabolism","PAT"
"3-hydroxybutyrate (bhba)",5.42257276568507e-05,0.343437290560037,0.656508483712306,3,"Lipids","Ketone Bodies","PAT"
"3-hydroxybutyrylcarnitine (1)",1.13940714393041e-12,4.67634728074976e-10,0.999999999531226,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"3-hydroxybutyrylcarnitine (2)",2.90140547392779e-06,0.999823068729182,0.000174029865344423,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"3-hydroxydecanoate",5.37211784533008e-06,0.999440858820577,0.000553769061577532,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxyhippurate",1.15278801858996e-06,0.999998464886194,3.82325787717658e-07,2,"Xenobiotics","Benzoate Metabolism","PAT"
"3-hydroxylaurate",7.24639191371715e-08,0.999999740368087,1.87167994232913e-07,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxymyristate",4.1914003676516e-05,0.950143761697974,0.0498143242983493,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxyoctanoate",6.74082382953143e-05,0.720260756643976,0.279671835117729,2,"Lipids","Fatty Acid, Monohydroxy","PAT"
"3-hydroxypyridine sulfate",0.996895351581596,0.00310134382104389,3.3045973605992e-06,1,"Xenobiotics","Chemical","PAT"
"3-indoxyl sulfate",0.999893931294527,0.000103979128230855,2.0895772420892e-06,1,"Amino Acids","Tryptophan Metabolism","PAT"
"3-methyl-2-oxobutyrate",7.16759904170906e-08,0.999999773130087,1.55193922970704e-07,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"3-methyl-2-oxovalerate",5.20763854207839e-05,0.907054676997069,0.0928932466175102,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"3-phenylpropionate (hydrocinnamate)",1.17031533527561e-07,0.999999757146421,1.25822045073611e-07,2,"Amino Acids","Phenylalanine and Tyrosine Metabolism","PAT"
"4-androsten-3alpha,17alpha-diol monosulfate (2)",0.00179748624734245,0.998180866454758,2.16472978994822e-05,2,"Lipids","Steroid","PAT"
"4-androsten-3beta,17beta-diol monosulfate (1)",0.00933625330217387,0.9906180315035,4.57151943256564e-05,2,"Lipids","Steroid","PAT"
"4-hydroxyhippurate",0.999455467159345,0.000543756309166213,7.76531488291418e-07,1,"Xenobiotics","Benzoate Metabolism","PAT"
"4-methyl-2-oxopentanoate",1.5075291953408e-05,0.995502676355837,0.00448224835220912,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"5-dodecenoate (12:1n7)",2.54013432109084e-05,0.985608928515809,0.01436567014098,2,"Lipids","Medium Chain Fatty Acid","PAT"
"acetoacetate",4.1377562055942e-06,0.00919914237500657,0.990796719868788,3,"Lipids","Ketone Bodies","PAT"
"acetylcarnitine",0.937563071476173,0.0624023417962311,3.45867275958583e-05,1,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"adipoylcarnitine",5.81268512642223e-10,1.04146982785352e-07,0.999999895271749,3,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"alanine",0.999987609619545,1.23619172723902e-05,2.84631828394736e-08,1,"Amino Acids","Alanine and Aspartate Metabolism","PAT"
"alpha-hydroxyisocaproate",1.47336784414096e-07,0.999998911093575,9.41569640591192e-07,2,"Amino Acids","Leucine, Isoleucine and Valine Metabolism","PAT"
"alpha-ketobutyrate",2.87876858705501e-07,2.7946975952148e-05,0.999971765147189,3,"Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","PAT"
"c0 (carnitine)",0.0391987722493558,0.938343060997962,0.0224581667526822,2,"Lipids","Carnitine Metabolism","PAT"
"c12 (dodecanoylcarnitine)",0.106466326882462,0.820342661456682,0.0731910116608553,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14 (tetradecanoylcarnitine)",0.0363838096509995,0.943004066554716,0.0206121237942843,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:1 (tetradecenoylcarnitine)",0.0572574555824028,0.907859538497299,0.0348830059202978,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:1-oh (hydroxytetradecenoylcarnitine)",0.0883795106784632,0.853221975418074,0.0583985139034624,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
"c14:2 (tetradecadienylcarnitine)",0.0893026045331111,0.851563551353868,0.0591338441130208,2,"Lipids","Fatty Acid Metabolism (Acyl Carnitine)","PAT"
