"Metabolite","Correlation","p_value","p_adjusted"
"glucose [P, nt-ms]",0.667722828119578,1.52305389411776e-55,9.68662276658898e-53
"glycocholate [P, nt-ms]",0.59318936136524,2.83721160819899e-41,1.80446658281456e-38
"fructose [P, nt-ms]",0.58619466450004,4.03630785568409e-40,2.56709179621508e-37
"H1 (hexose) [P, t-ms]",0.586077834800492,4.21703126888535e-40,2.68203188701108e-37
"methionine sulfoxide [P, nt-ms]",0.559948292123129,4.9319308194392e-36,3.13670800116333e-33
"taurocholate [P, nt-ms]",0.53290704620481,3.46713675114918e-32,2.20509897373088e-29
"gamma-glutamylmethionine [P, nt-ms]",0.525334267123314,3.60032858231237e-31,2.28980897835067e-28
"phosphate [P, nt-ms]",-0.52143723248985,1.17351782081954e-30,7.4635733404123e-28
"glycochenodeoxycholate [P, nt-ms]",0.518971527392576,2.45897546742402e-30,1.56390839728168e-27
"glycolithocholate [P, nt-ms]",0.518963639421444,2.46477758660534e-30,1.567598545081e-27
"gamma-glutamylalanine [P, nt-ms]",0.513827000602697,1.12890955485136e-29,7.17986476885464e-27
"Glucose [P, chem.]",0.511911607387536,1.97802816268054e-29,1.25802591146482e-26
"azelate (nonanedioate) [P, nt-ms]",0.511833549793079,2.02360655541277e-29,1.28701376924252e-26
"3-hydroxy-3-methylglutarate [P, nt-ms]",0.503841628798901,2.02160825886082e-28,1.28574285263548e-25
"gluconate [P, nt-ms]",0.499868095188602,6.20797418488281e-28,3.94827158158547e-25
"gamma-glutamylphenylalanine [P, nt-ms]",0.488245435812021,1.52087650941182e-26,9.67277459985916e-24
"pyruvate [P, nt-ms]",0.478134144008976,2.22905871179796e-25,1.4176813407035e-22
"3-methylxanthine [P, nt-ms]",0.457628572055922,3.95355108624158e-23,2.51445849084964e-20
"methionine [P, t-ms]",0.456809653355389,4.82708010495597e-23,3.070022946752e-20
"proline [P, nt-ms]",0.452611896362687,1.33179004485596e-22,8.47018468528388e-20
"deoxycholate [P, nt-ms]",0.444869116364078,8.34756449518227e-22,5.30905101893592e-19
"3,7-dimethylurate [P, nt-ms]",0.443684404709152,1.10087523682689e-21,7.00156650621904e-19
"isovalerylglycine [P, nt-ms]",0.440525246221915,2.29041251711937e-21,1.45670236088792e-18
"methionine [P, nt-ms]",0.430150700178622,2.40808029458145e-20,1.5315390673538e-17
"S-1-pyrroline-5-carboxylate [P, nt-ms]",0.421623434960961,1.56862357374822e-19,9.9764459290387e-17
"O-methylcatechol sulfate [P, nt-ms]",0.418334531913421,3.18626757159243e-19,2.02646617553278e-16
"proline [P, t-ms]",0.413052542772376,9.78413315021633e-19,6.22270868353758e-16
"phenylalanine [P, t-ms]",0.408468702727969,2.54932040711484e-18,1.62136777892504e-15
"taurochenodeoxycholate [P, nt-ms]",0.398784794535508,1.83758043348097e-17,1.16870115569389e-14
"7-methylxanthine [P, nt-ms]",0.39498001746559,3.92348701758904e-17,2.49533774318663e-14
"phenyllactate (PLA) [P, nt-ms]",0.380150144506464,6.88177187288355e-16,4.37680691115394e-13
"phenylalanine [P, nt-ms]",0.375745432510873,1.56740175026892e-15,9.96867513171033e-13
"asparagine [P, nt-ms]",0.374745182368459,1.88627654137692e-15,1.19967188031572e-12
"glycoursodeoxycholate [P, nt-ms]",0.372817367641004,2.69047435449721e-15,1.71114168946022e-12
"gamma-CEHC [P, nt-ms]",0.37144312375966,3.46051306481737e-15,2.20088630922385e-12
"5,6-dihydrothymine [P, nt-ms]",-0.370316944522495,4.24945100662551e-15,2.70265084021382e-12
"alanine [P, nt-ms]",0.368091799173791,6.36121511747616e-15,4.04573281471484e-12
"ribonate [P, nt-ms]",0.363846478035356,1.36167431307904e-14,8.66024863118272e-12
"acetylcarnitine [P, nt-ms]",-0.362480369589213,1.73539477062084e-14,1.10371107411485e-11
"tyrosine [P, nt-ms]",0.362295888343304,1.79301112688826e-14,1.14035507670093e-11
"gamma-glutamyltyrosine [P, nt-ms]",0.361288468647084,2.14230685877095e-14,1.36250716217832e-11
"phosphoethanolamine [P, nt-ms]",-0.359854734852117,2.75690328482365e-14,1.75339048914784e-11
"lysine [P, nt-ms]",0.354157174975846,7.4183626464995e-14,4.71807864317368e-11
"glutamate [P, nt-ms]",0.351928474074913,1.08674502643328e-13,6.91169836811567e-11
"erythronate [P, nt-ms]",0.351750280918106,1.1202866586329e-13,7.12502314890526e-11
"N-acetylcarnosine [P, nt-ms]",0.349563167383157,1.62436742281909e-13,1.03309768091294e-10
"theobromine [P, nt-ms]",0.341487383576181,6.24744986368227e-13,3.97337811330192e-10
"C2 (acetylcarnitine) [P, t-ms]",-0.338524260822021,1.01424877693371e-12,6.45062222129839e-10
"N-formylphenylalanine [P, nt-ms]",0.337220316008029,1.25326077663165e-12,7.97073853937732e-10
"caprate (10:0) [P, nt-ms]",-0.335858879360514,1.56145473164905e-12,9.93085209328798e-10
"ursodeoxycholate [P, nt-ms]",0.335489530949386,1.65711873454559e-12,1.05392751517099e-09
"N6-acetyllysine [P, nt-ms]",0.331234715029421,3.26859739063117e-12,2.07882794044142e-09
"catechol sulfate [P, nt-ms]",0.330596508308334,3.615922513216e-12,2.29972671840538e-09
"glycohyocholate [P, nt-ms]",0.328902168540259,4.72237241073439e-12,3.00342885322707e-09
"pregnanolone/allopregnanolone sulfate [P, nt-ms]",0.328560540269477,4.98253696371105e-12,3.16889350892023e-09
"orotate [P, nt-ms]",0.326474772521345,6.90265909471729e-12,4.3900911842402e-09
"C8:1 (octenoylcarnitine) [P, t-ms]",0.325515620134109,8.01223689835836e-12,5.09578266735592e-09
"kynurenine [P, nt-ms]",0.32350743198552,1.09284376858994e-11,6.95048636823203e-09
"phenylpyruvate [P, nt-ms]",0.321361006180713,1.5189482100196e-11,9.66051061572468e-09
"16-hydroxypalmitate [P, nt-ms]",-0.321183015254211,1.56080650168419e-11,9.92672935071146e-09
"tyrosine [P, t-ms]",0.320343971354371,1.77377309810205e-11,1.1281196903929e-08
"glycerate [P, nt-ms]",0.318149140737914,2.47396022700471e-11,1.573438704375e-08
"gamma-glutamylvaline [P, nt-ms]",0.314560960065655,4.23732068061768e-11,2.69493595287284e-08
"phenylacetylcarnitine [P, nt-ms]",0.313853510794614,4.70759763115875e-11,2.99403209341697e-08
"3-hydroxymyristate [P, nt-ms]",-0.308261530200705,1.07116279884212e-10,6.8125954006359e-08
"2-hydroxyphenylacetate [P, nt-ms]",0.307997321647749,1.11311546704681e-10,7.07941437041773e-08
"tryptophan [P, nt-ms]",0.305854933429342,1.51781013096521e-10,9.65327243293875e-08
"aspartate [P, nt-ms]",0.299200035927312,3.91410390304111e-10,2.48937008233414e-07
"glycerol 3-phosphate [P, nt-ms]",-0.297229765373471,5.15750122555673e-10,3.28017077945408e-07
"gamma-glutamylthreonine [P, nt-ms]",0.292492121251233,9.92704760693887e-10,6.31360227801312e-07
"isobutyrylcarnitine [P, nt-ms]",0.292437513091556,1.00015577034184e-09,6.36099069937407e-07
"argininosuccinate [P, nt-ms]",0.287306866370807,2.00502825606914e-09,1.27519797085997e-06
"gamma-glutamyl-epsilon-lysine [P, nt-ms]",0.287242404677645,2.02244649177393e-09,1.28627596876822e-06
"etiocholanolone glucuronide [P, nt-ms]",0.286201662524804,2.32485204541015e-09,1.47860590088085e-06
"2-hydroxydecanoate [P, nt-ms]",0.28585297073475,2.43565674413056e-09,1.54907768926703e-06
"laurate (12:0) [P, nt-ms]",-0.282021477695703,4.04558601981103e-09,2.57299270859981e-06
"5-methyluridine (ribothymidine) [P, nt-ms]",0.281914320399252,4.10295323456855e-09,2.6094782571856e-06
"glycerol [P, nt-ms]",-0.281136478112047,4.54367855051632e-09,2.88977955812838e-06
"5-dodecenoate (12:1n7) [P, nt-ms]",-0.280367466941669,5.02436263523091e-09,3.19549463600686e-06
