"";"Metabolite";"SUPER.PATHWAY";"SUB.PATHWAY";"Fluid";"platform_name";"col_code"
"1";"C10 (decanoylcarnitine)";"Lipid";"Medium chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C10 (decanoylcarnitine)_biocrates"
"2";"C10:1 (decenoylcarnitine)";"Lipid";"Medium chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C10:1 (decenoylcarnitine)_biocrates"
"3";"C12 (dodecanoylcarnitine)";"Lipid";"Medium chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C12 (dodecanoylcarnitine)_biocrates"
"4";"C12:1 (dodecenoylcarnitine)";"Lipid";"Medium chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C12:1 (dodecenoylcarnitine)_biocrates"
"5";"C14 (tetradecanoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C14 (tetradecanoylcarnitine)_biocrates"
"6";"C14:1 (tetradecenoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C14:1 (tetradecenoylcarnitine)_biocrates"
"7";"C14:1-OH (hydroxytetradecenoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C14:1-OH (hydroxytetradecenoylcarnitine)_biocrates"
"8";"C14:2 (tetradecadienylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C14:2 (tetradecadienylcarnitine)_biocrates"
"9";"C16 (hexadecanoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C16 (hexadecanoylcarnitine)_biocrates"
"10";"C16-OH (hydroxyhexadecanoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C16-OH (hydroxyhexadecanoylcarnitine)_biocrates"
"11";"C16:1-OH (hexadecenoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C16:1-OH (hexadecenoylcarnitine)_biocrates"
"12";"C16:2 (hexadecadienylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C16:2 (hexadecadienylcarnitine)_biocrates"
"13";"C16:2-OH (hydroxyhexadecadienylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C16:2-OH (hydroxyhexadecadienylcarnitine)_biocrates"
"14";"C18 (octadecanoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C18 (octadecanoylcarnitine)_biocrates"
"15";"C18:1 (octadecenoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C18:1 (octadecenoylcarnitine)_biocrates"
"16";"C18:2 (octadecadienylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C18:2 (octadecadienylcarnitine)_biocrates"
"17";"C2 (acetylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C2 (acetylcarnitine)_biocrates"
"18";"C3 (propionylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C3 (propionylcarnitine)_biocrates"
"19";"C4 (butyrylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C4 (butyrylcarnitine)_biocrates"
"20";"C4:1-DC (fumarylcarnitine) and C6 (hexanoylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C4:1-DC (fumarylcarnitine) and C6 (hexanoylcarnitine)_biocrates"
"21";"C5 (valerylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C5 (valerylcarnitine)_biocrates"
"22";"C5:1-DC (glutaconylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C5:1-DC (glutaconylcarnitine)_biocrates"
"23";"C5:1( tiglylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C5:1( tiglylcarnitine)_biocrates"
"24";"C6-OH (glutarylcarnitine) and C5-DC (hydroxyhexanoylcarnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C6-OH (glutarylcarnitine) and C5-DC (hydroxyhexanoylcarnitine)_biocrates"
"25";"C7-DC (pimelylcarnitine)";"Lipid";"Medium chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C7-DC (pimelylcarnitine)_biocrates"
"26";"C8 (octanoylcarnitine)";"Lipid";"Long Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C8 (octanoylcarnitine)_biocrates"
"27";"C8:1 (octenoylcarnitine)";"Lipid";"Medium chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C8:1 (octenoylcarnitine)_biocrates"
"28";"C0 (carnitine)";"Lipid";"Short Chain Acylcarnitines";"Plasma";"Biocrates p150 [t-ms]";"C0 (carnitine)_biocrates"
"29";"arginine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"arginine_biocrates"
"30";"glutamine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"glutamine_biocrates"
"31";"glycine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"glycine_biocrates"
"32";"histidine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"histidine_biocrates"
"33";"leucine or isoleucine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"leucine or isoleucine_biocrates"
"34";"methionine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"methionine_biocrates"
"35";"ornithine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"ornithine_biocrates"
"36";"phenylalanine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"phenylalanine_biocrates"
"37";"proline";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"proline_biocrates"
"38";"serine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"serine_biocrates"
"39";"threonine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"threonine_biocrates"
"40";"tryptophan";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"tryptophan_biocrates"
"41";"tyrosine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"tyrosine_biocrates"
"42";"valine";"Amino Acid";NA;"Plasma";"Biocrates p150 [t-ms]";"valine_biocrates"
"43";"lysoPC a C14:0";"Lipid";"Glycerophospholipids";"Plasma";"Biocrates p150 [t-ms]";"lysoPC a C14:0_biocrates"
"44";"lysoPC a C16:0";"Lipid";"Glycerophospholipids";"Plasma";"Biocrates p150 [t-ms]";"lysoPC a C16:0_biocrates"
"45";"lysoPC a C16:1";"Lipid";"Glycerophospholipids";"Plasma";"Biocrates p150 [t-ms]";"lysoPC a C16:1_biocrates"
"46";"lysoPC a C17:0";"Lipid";"Glycerophospholipids";"Plasma";"Biocrates p150 [t-ms]";"lysoPC a C17:0_biocrates"
"47";"lysoPC a C18:0";"Lipid";"Glycerophospholipids";"Plasma";"Biocrates p150 [t-ms]";"lysoPC a C18:0_biocrates"
"48";"lysoPC a C18:2";"Lipid";"Glycerophospholipids";"Plasma";"Biocrates p150 [t-ms]";"lysoPC a C18:2_biocrates"
