Metabolite,Super_Pathway,Sub_Pathway,Mean_Diff(SLD_OGTT),pvalue(SLD_OGTT),Mean_Diff(OLTT_OGTT),pvalue(OLTT_OGTT),Significant_Response
C10 (decanoylcarnitine)_biocrates,N/A,N/A,-0.3689790729110016,0.014638875052806206,0.2442222166832988,0.23521900711490243,False
C10:1 (decenoylcarnitine)_biocrates,N/A,N/A,-0.18639384632220501,0.10968435244152643,0.5061037849391843,0.001991824053352078,False
C12 (dodecanoylcarnitine)_biocrates,N/A,N/A,-0.596692501077047,0.00029733736276303364,-0.06618113372806933,0.7219431990743782,False
C12:1 (dodecenoylcarnitine)_biocrates,N/A,N/A,-0.18403287844394933,0.10079480718392841,0.2660437919635017,0.092480312445723,False
C14 (tetradecanoylcarnitine)_biocrates,N/A,N/A,-0.45457747534188453,0.0001099499280196096,-0.2533861313592558,0.01583680358845916,False
C14:1 (tetradecenoylcarnitine)_biocrates,N/A,N/A,-0.10561410714831831,0.3098974243069545,0.4132164880101179,0.012023844128948143,False
C14:1-OH (hydroxytetradecenoylcarnitine)_biocrates,N/A,N/A,-0.2916631102371827,0.0038897675180824313,0.2767472332983347,0.045787152624638144,False
C14:2 (tetradecadienylcarnitine)_biocrates,N/A,N/A,-0.35043108006297974,0.032334569366882844,0.7110558815435457,0.0022359583173943384,False
C16 (hexadecanoylcarnitine)_biocrates,N/A,N/A,-0.5268971587264857,8.538278383632147e-07,-0.40129623184966423,0.0007828212604834466,True
C16-OH (hydroxyhexadecanoylcarnitine)_biocrates,N/A,N/A,0.0016971437530841627,0.9809910740085437,0.11028018788330751,0.3125993956754796,False
C16:1-OH (hexadecenoylcarnitine)_biocrates,N/A,N/A,-0.15504632167404164,0.02872570435904044,0.07444501534889181,0.4390456892132557,False
C16:2 (hexadecadienylcarnitine)_biocrates,N/A,N/A,-0.11473493668647627,0.45163271928129434,0.5468164192333491,0.008383407375131439,False
C16:2-OH (hydroxyhexadecadienylcarnitine)_biocrates,N/A,N/A,-0.16141704629769116,0.09299482026743376,0.025796750040566252,0.7822830791494518,False
C18 (octadecanoylcarnitine)_biocrates,N/A,N/A,-0.25671534130880236,0.00036316812238820187,-0.18904892800166717,0.02422238090538416,False
C18:1 (octadecenoylcarnitine)_biocrates,N/A,N/A,-0.02035777335406408,0.7997025251965231,0.3932980851767178,0.0005593309986296086,False
C18:2 (octadecadienylcarnitine)_biocrates,N/A,N/A,-0.04110134579789104,0.5435358872200391,0.31057707753745056,0.0023059115380916484,False
C2 (acetylcarnitine)_biocrates,N/A,N/A,-0.2920958238559823,0.00528945297786964,0.2697432864006908,0.040712358568816165,False
C3 (propionylcarnitine)_biocrates,N/A,N/A,0.06614961577313028,0.24121290295509895,-0.010714085268839879,0.8953381368346006,False
C4 (butyrylcarnitine)_biocrates,N/A,N/A,0.05057521982945934,0.29829523130756624,0.044453647896174786,0.58454530801037,False
C4:1-DC (fumarylcarnitine) and C6 (hexanoylcarnitine)_biocrates,N/A,N/A,-0.24590053600273176,0.0033486392743191187,0.15049216044611402,0.2176698456418944,False
C5 (valerylcarnitine)_biocrates,N/A,N/A,0.03396018564445935,0.7627646090070562,-0.16077966102751207,0.024410281292896453,False
C5:1-DC (glutaconylcarnitine)_biocrates,N/A,N/A,-0.11142197386353647,0.37158940578963384,0.019484203102727804,0.7998752631844831,False
C5:1( tiglylcarnitine)_biocrates,N/A,N/A,-0.1292851292163837,0.05466790143770413,-0.035933251549026934,0.5844110436491291,False
C6-OH (glutarylcarnitine) and C5-DC (hydroxyhexanoylcarnitine)_biocrates,N/A,N/A,-0.08538378166862781,0.45964370145083566,0.15283871785091474,0.019391684985888395,False
C7-DC (pimelylcarnitine)_biocrates,N/A,N/A,-0.5909174316801975,0.0008842557885969521,0.28004245080006207,0.09896550853351686,False
C8 (octanoylcarnitine)_biocrates,N/A,N/A,-0.3573490721304484,0.004144437093888921,0.2093892082332065,0.21215308283384765,False
C8:1 (octenoylcarnitine)_biocrates,N/A,N/A,0.2137441515853391,0.0005024340392098179,1.1737717101582028,5.189707857783133e-10,True
C0 (carnitine)_biocrates,N/A,N/A,-0.07237874168394853,0.13286207701929154,-0.019996955603946986,0.6709828744020214,False
arginine_biocrates,N/A,N/A,-0.1924413970292198,0.00022930359509905593,-0.3397867260702796,2.8105279314458335e-05,True
glutamine_biocrates,N/A,N/A,-0.009461341386806765,0.8064637519339757,-0.09268501473914625,0.03383139066323767,False
glycine_biocrates,N/A,N/A,-0.22559994077744872,5.564575884234442e-05,-0.3372908300379711,8.420864290577411e-07,True
histidine_biocrates,N/A,N/A,-0.0499534698659172,0.15563446260023742,-0.056848702586431266,0.15817935472869915,False
leucine or isoleucine_biocrates,N/A,N/A,-0.0468960978594124,0.21952302384972563,-0.09736078110735047,0.08788904298324557,False
methionine_biocrates,N/A,N/A,-0.20888792191764782,0.0007157438344797892,-0.18650198805692142,0.006456601799385032,False
ornithine_biocrates,N/A,N/A,-0.04095396850417643,0.316270333906658,-0.19086468036908322,0.005541210537696642,False
phenylalanine_biocrates,N/A,N/A,-0.013658341439860777,0.678788161405939,-0.021259684160185977,0.6506954039341264,False
proline_biocrates,N/A,N/A,0.0659376605825841,0.11125330452111365,-0.015112778075046407,0.7696789586938352,False
serine_biocrates,N/A,N/A,-0.18703689392021428,0.001808868558357975,-0.1760833692411552,0.00901020889956684,False
threonine_biocrates,N/A,N/A,-0.19105980175646575,0.0011264381189269362,-0.3330325208856033,0.00012180908670882797,False
tryptophan_biocrates,N/A,N/A,-0.129746750934709,0.001663905717699479,-0.1473676814243765,0.003394134972985689,False
tyrosine_biocrates,N/A,N/A,0.11728580037110348,0.007028203261145804,-0.00224674274186043,0.9580966595119952,False
valine_biocrates,N/A,N/A,-0.028991582843609365,0.4261316165558843,-0.14376226745201048,0.011357342933329365,False
lysoPC a C14:0_biocrates,N/A,N/A,-0.14261746735583092,0.00011722457256950324,-0.39479161152732833,8.212026334248263e-08,True
lysoPC a C16:0_biocrates,N/A,N/A,0.005215249038343472,0.8775893209558598,-0.2316045361903738,8.008334052438757e-06,True
lysoPC a C16:1_biocrates,N/A,N/A,-0.06485549290322523,0.184374059976188,-0.3231862949443075,3.861514376887777e-05,True
lysoPC a C17:0_biocrates,N/A,N/A,0.01751994319385175,0.643340793574643,-0.25143795086770193,0.0008488146415378111,False
lysoPC a C18:0_biocrates,N/A,N/A,0.006917039020258642,0.8709265907387744,-0.21812319328651064,7.18445227870808e-05,True
lysoPC a C18:2_biocrates,N/A,N/A,0.09822526180357372,0.13273341146652567,0.07302973081399333,0.4574807317188577,False
lysoPC a C20:3_biocrates,N/A,N/A,-0.041868699422079825,0.5336072145967604,-0.27960710036767744,0.0008932404318755904,False
lysoPC a C20:4_biocrates,N/A,N/A,-0.005202597404494025,0.9219781268725393,-0.14984785217379315,0.022970516175414995,False
PC aa C28:1_biocrates,N/A,N/A,0.0555863791617186,0.19606102826629299,0.012478220926978478,0.6975483190423581,False
PC aa C30:0_biocrates,N/A,N/A,-0.2197907785313915,0.0006300718998134799,-0.5713601697770685,7.677424018874041e-08,True
PC aa C32:0_biocrates,N/A,N/A,-0.05094359305201124,0.24870929714426426,-0.18595528717228094,0.0009531165476578504,False
PC aa C32:1_biocrates,N/A,N/A,-0.1714518320274423,0.00520758779625366,-0.5173261280728503,7.618196622815364e-06,True
PC aa C32:2_biocrates,N/A,N/A,-0.3384540619725942,1.6328564402107287e-06,-0.8947538894658902,2.855854972736743e-09,True
PC aa C32:3_biocrates,N/A,N/A,-0.08118008943937616,0.031652251730625046,-0.19086195739912992,7.192810210227379e-06,True
PC aa C34:1_biocrates,N/A,N/A,-0.009967338735137332,0.7892829131969116,0.015964924761803445,0.7430273087506956,False
PC aa C34:2_biocrates,N/A,N/A,-0.005439962333420922,0.8708363805862863,-0.000921690780206319,0.975072407755271,False
PC aa C34:3_biocrates,N/A,N/A,0.010859267143880746,0.8121183252734447,0.031960711608747694,0.5151994404757549,False
PC aa C34:4_biocrates,N/A,N/A,-0.18278087319129366,0.0012968216829135411,-0.5918658538319128,3.381640311850812e-08,True
PC aa C36:0_biocrates,N/A,N/A,-0.003971271057482184,0.9411186117007972,-0.13061115621772368,0.009001914153467358,False
PC aa C36:1_biocrates,N/A,N/A,0.054018719496601086,0.14837007711944378,0.07743777912631167,0.14788780540050553,False
PC aa C36:2_biocrates,N/A,N/A,0.03922376142833617,0.2682194444671299,0.0787395133815112,0.025230906526472256,False
PC aa C36:3_biocrates,N/A,N/A,0.02886891237473055,0.4018385090309885,0.1008968014689513,0.005300941623598476,False
PC aa C36:4_biocrates,N/A,N/A,0.027998873987878703,0.47678969571970253,0.041349608095994306,0.24854015837974394,False
PC aa C36:5_biocrates,N/A,N/A,0.018731426284495534,0.6719698085488788,-0.07594740597329697,0.15443022724644803,False
PC aa C36:6_biocrates,N/A,N/A,-0.0030700961113718506,0.9461082925881873,-0.32940875106265705,8.396560221270822e-06,True
PC aa C38:0_biocrates,N/A,N/A,0.03653470245680701,0.4006274547353146,0.042499463235610824,0.3619719803004766,False
PC aa C38:3_biocrates,N/A,N/A,0.06669774340585466,0.08558317889426549,0.011630104163717014,0.7911072686536936,False
PC aa C38:4_biocrates,N/A,N/A,0.07342522142307306,0.09042832339864679,0.12628561241769987,0.014627081358621473,False
PC aa C38:5_biocrates,N/A,N/A,0.041675412375600907,0.3121446807613242,0.08343456341213962,0.07584531941755299,False
PC aa C38:6_biocrates,N/A,N/A,0.05831255732599594,0.20667270806953764,0.1123009545524809,0.041383851362965976,False
PC aa C40:1_biocrates,N/A,N/A,0.0690630102731622,0.06251591471823195,0.15624975575152034,0.0011486784915606606,False
PC aa C40:2_biocrates,N/A,N/A,0.15824172151024252,0.033093696140138545,0.24577735974434978,4.606115608714339e-05,True
PC aa C40:3_biocrates,N/A,N/A,0.10839341911825617,0.049495416855372815,0.12823845443464488,0.009153854675954197,False
PC aa C40:4_biocrates,N/A,N/A,0.08577395882531214,0.06214189618319154,0.039761801323478174,0.46265330804614424,False
PC aa C40:5_biocrates,N/A,N/A,0.07037630432586583,0.1368237439562873,0.07486651627587282,0.16301802584922967,False
PC aa C40:6_biocrates,N/A,N/A,0.09078064259494578,0.04353540062769257,0.11018387024363996,0.0780712778672366,False
PC aa C42:0_biocrates,N/A,N/A,0.08493973390002207,0.06379614925834046,0.13749275254539572,0.016155640645728366,False
PC aa C42:1_biocrates,N/A,N/A,0.07745767598036779,0.103778164507181,0.16343749211721081,0.004946449457905228,False
