"metabolite","cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6"
"1",3,0.00189405171541182,0.00584384458869306,0.991895053720453,2.40529701769671e-07,0.000361513491851292,5.29595388931084e-06
"2",4,0.000467552349490788,6.5184683001789e-06,0.00135090067593974,0.997381658622561,1.67925652491421e-06,0.00079169062718321
"3",3,0.00804085979721773,0.0360692982593804,0.955789304673232,3.75322642246028e-06,1.61737694549252e-05,8.06102742926682e-05
"4",2,8.01318575366995e-08,0.99999698292455,1.24945535997868e-06,6.09062351245279e-11,1.68427334266928e-06,3.15398374795557e-09
"5",2,4.71192035126248e-06,0.99800407964003,0.00196994351234212,4.37558821237703e-10,2.12154163721632e-05,4.90733457123877e-08
"6",2,1.1544042062872e-09,0.999784189092021,1.36480801836345e-05,1.76899287014914e-12,0.0002021616562659,1.53564258394759e-11
"7",2,1.72062135158053e-05,0.987976477832878,0.0118253445896031,1.23416678759598e-09,0.000180818415631957,1.51714204947415e-07
"8",1,0.99962527472805,0.000179438927850796,0.000176230739596217,2.50134985971904e-06,1.41384743376436e-05,2.41578030539938e-06
"9",2,6.3088852709714e-09,0.999994127261146,2.56998540685863e-06,3.07499738794511e-13,3.29644361907833e-06,6.35230340409898e-13
"10",6,1.31207330203011e-05,1.11766257773545e-08,1.81244792351218e-08,0.0242166269386021,2.04929769693486e-09,0.975770220977975
"11",1,0.998678068131659,0.000625631813061866,6.02170836911382e-05,0.000499571632080722,4.47543852384486e-06,0.000132035900983528
"12",2,0.00849565993449456,0.921836559997504,0.0677729243183777,1.66882705432894e-08,0.00189366150488108,1.17755647190166e-06
"13",4,0.000110604634708941,1.21666693645246e-07,1.83518291572003e-07,0.999557663154464,6.93298091521209e-08,0.000331357696032904
"14",2,5.50501380688135e-11,0.99999238082961,3.67192895223981e-07,8.95409065285884e-15,7.25192237941953e-06,5.58422184954616e-14
