Metabolite,Cluster
Unnamed: 0,6
C10 (decanoylcarnitine)_biocrates,4
C10:1 (decenoylcarnitine)_biocrates,4
C12 (dodecanoylcarnitine)_biocrates,4
C12:1 (dodecenoylcarnitine)_biocrates,4
C14 (tetradecanoylcarnitine)_biocrates,4
C14:1 (tetradecenoylcarnitine)_biocrates,4
C14:1-OH (hydroxytetradecenoylcarnitine)_biocrates,4
C14:2 (tetradecadienylcarnitine)_biocrates,4
C16 (hexadecanoylcarnitine)_biocrates,7
C16-OH (hydroxyhexadecanoylcarnitine)_biocrates,2
C16:1-OH (hexadecenoylcarnitine)_biocrates,4
C16:2 (hexadecadienylcarnitine)_biocrates,4
C16:2-OH (hydroxyhexadecadienylcarnitine)_biocrates,4
C18 (octadecanoylcarnitine)_biocrates,5
C18:1 (octadecenoylcarnitine)_biocrates,4
C18:2 (octadecadienylcarnitine)_biocrates,3
C2 (acetylcarnitine)_biocrates,4
C3 (propionylcarnitine)_biocrates,0
C4 (butyrylcarnitine)_biocrates,6
C4:1-DC (fumarylcarnitine) and C6 (hexanoylcarnitine)_biocrates,4
C5 (valerylcarnitine)_biocrates,6
C5:1-DC (glutaconylcarnitine)_biocrates,7
C5:1( tiglylcarnitine)_biocrates,7
C6-OH (glutarylcarnitine) and C5-DC (hydroxyhexanoylcarnitine)_biocrates,7
C7-DC (pimelylcarnitine)_biocrates,4
C8 (octanoylcarnitine)_biocrates,4
C8:1 (octenoylcarnitine)_biocrates,6
C0 (carnitine)_biocrates,5
arginine_biocrates,6
glutamine_biocrates,0
glycine_biocrates,0
histidine_biocrates,6
leucine or isoleucine_biocrates,6
methionine_biocrates,6
ornithine_biocrates,0
phenylalanine_biocrates,6
proline_biocrates,6
serine_biocrates,6
threonine_biocrates,0
tryptophan_biocrates,6
tyrosine_biocrates,6
valine_biocrates,6
lysoPC a C14:0_biocrates,0
lysoPC a C16:0_biocrates,5
lysoPC a C16:1_biocrates,5
lysoPC a C17:0_biocrates,5
lysoPC a C18:0_biocrates,5
lysoPC a C18:2_biocrates,0
lysoPC a C20:3_biocrates,5
lysoPC a C20:4_biocrates,5
PC aa C28:1_biocrates,5
PC aa C30:0_biocrates,5
PC aa C32:0_biocrates,5
PC aa C32:1_biocrates,5
PC aa C32:2_biocrates,5
PC aa C32:3_biocrates,5
PC aa C34:1_biocrates,5
PC aa C34:2_biocrates,5
PC aa C34:3_biocrates,5
PC aa C34:4_biocrates,5
PC aa C36:0_biocrates,2
PC aa C36:1_biocrates,5
PC aa C36:2_biocrates,5
PC aa C36:3_biocrates,5
PC aa C36:4_biocrates,5
PC aa C36:5_biocrates,5
PC aa C36:6_biocrates,5
PC aa C38:0_biocrates,2
PC aa C38:3_biocrates,5
PC aa C38:4_biocrates,5
PC aa C38:5_biocrates,5
PC aa C38:6_biocrates,5
PC aa C40:1_biocrates,2
PC aa C40:2_biocrates,2
PC aa C40:3_biocrates,2
PC aa C40:4_biocrates,5
PC aa C40:5_biocrates,5
PC aa C40:6_biocrates,5
PC aa C42:0_biocrates,2
PC aa C42:1_biocrates,2
