metabolite,platform,super_pathway,sub_pathway,significant_OGTT_OLTT_SLD,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,0,ogtt,-0.335620886912961,0,1.35502664245938e-06,5.86805216563139,0
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,15,ogtt,-0.368380427595373,-0.0327595406824126,1.35502664245938e-06,5.86805216563139,0.0327595406824126
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,30,ogtt,-0.368704192620832,-0.0330833057078718,1.35502664245938e-06,5.86805216563139,0.0330833057078718
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,45,ogtt,-0.266214458296154,0.069406428616807,1.35502664245938e-06,5.86805216563139,0.069406428616807
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,60,ogtt,-0.246045161317546,0.0895757255954144,1.35502664245938e-06,5.86805216563139,0.0895757255954144
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,90,ogtt,-0.390811882925482,-0.0551909960125212,1.35502664245938e-06,5.86805216563139,0.0551909960125212
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,120,ogtt,-0.609297952574085,-0.273677065661124,1.35502664245938e-06,5.86805216563139,0.273677065661124
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,180,ogtt,-0.766324617752385,-0.430703730839424,1.35502664245938e-06,5.86805216563139,0.430703730839424
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,240,ogtt,-0.793191306282951,-0.457570419369991,1.35502664245938e-06,5.86805216563139,0.457570419369991
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,0,oltt,-0.533096524512579,0,1.17022874787724e-26,25.931729237202,0
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,30,oltt,-0.532148876253341,0.000947648259238543,1.17022874787724e-26,25.931729237202,0.000947648259238543
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,60,oltt,-0.462030078300577,0.0710664462120018,1.17022874787724e-26,25.931729237202,0.0710664462120018
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,90,oltt,-0.1905580875307,0.342538436981879,1.17022874787724e-26,25.931729237202,0.342538436981879
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,120,oltt,0.203029668588976,0.736126193101555,1.17022874787724e-26,25.931729237202,0.736126193101555
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,180,oltt,0.242028140865722,0.775124665378301,1.17022874787724e-26,25.931729237202,0.775124665378301
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,240,oltt,0.380383906823059,0.913480431335638,1.17022874787724e-26,25.931729237202,0.913480431335638
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,0,sld,-0.793191306282951,0,1.92728208857045e-54,53.715054714746,0
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,60,sld,-0.509514950119894,0.283676356163057,1.92728208857045e-54,53.715054714746,0.283676356163057
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,120,sld,0.260055276804238,1.05324658308719,1.92728208857045e-54,53.715054714746,1.05324658308719
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,180,sld,0.461855368577927,1.25504667486088,1.92728208857045e-54,53.715054714746,1.25504667486088
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,240,sld,0.430417818963691,1.22360912524664,1.92728208857045e-54,53.715054714746,1.22360912524664
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,0,ogtt,-0.202350846558065,0,2.93301803856019e-06,5.53268526602625,0
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,15,ogtt,-0.0922861144859836,0.110064732072081,2.93301803856019e-06,5.53268526602625,0.110064732072081
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,30,ogtt,-0.156461168408614,0.0458896781494505,2.93301803856019e-06,5.53268526602625,0.0458896781494505
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,45,ogtt,-0.126891216545236,0.0754596300128294,2.93301803856019e-06,5.53268526602625,0.0754596300128294
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,60,ogtt,0.0675613030538162,0.269912149611881,2.93301803856019e-06,5.53268526602625,0.269912149611881
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,90,ogtt,-0.000966126613051651,0.201384719945013,2.93301803856019e-06,5.53268526602625,0.201384719945013
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,120,ogtt,0.182801993692451,0.385152840250516,2.93301803856019e-06,5.53268526602625,0.385152840250516
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,180,ogtt,0.29740948190045,0.499760328458515,2.93301803856019e-06,5.53268526602625,0.499760328458515
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,240,ogtt,0.464149613954757,0.666500460512823,2.93301803856019e-06,5.53268526602625,0.666500460512823
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,0,oltt,-0.314357312094077,0,2.66095208392283e-10,9.57496294577002,0
