challenge,metabolite,platform,super_pathway,sub_pathway,p_value,mean_response,significant
OGTT,"1,5-anhydroglucitol (1,5-AG)",Metabolon HD4 [nt-ms],Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.21429359821029,-0.00208583350214011,FALSE
OGTT,"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,1.60461374296825e-06,0.532079078660606,TRUE
OGTT,1-(1-enyl-oleoyl)-GPC (P-18:1)*,Metabolon HD4 [nt-ms],Lipid,Lysoplasmalogen,0.127401582082681,0.0406588288718682,FALSE
OGTT,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Metabolon HD4 [nt-ms],Lipid,Lysoplasmalogen,0.363468476602721,0.122128610538369,FALSE
OGTT,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Metabolon HD4 [nt-ms],Lipid,Lysoplasmalogen,0.938271922417785,0.0697378191589514,FALSE
OGTT,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Metabolon HD4 [nt-ms],Lipid,Lysoplasmalogen,0.331355565810919,0.066579343493602,FALSE
OGTT,1-(1-enyl-stearoyl)-GPC (P-18:0) *,Metabolon HD4 [nt-ms],Lipid,Lysoplasmalogen,0.740715699602501,0.0459402382397434,FALSE
OGTT,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Metabolon HD4 [nt-ms],Lipid,Lysoplasmalogen,0.824264619770168,0.122529524695546,FALSE
OGTT,1-adrenoyl-GPC (22:4)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.592396135221517,-0.101543381619434,FALSE
OGTT,1-arachidonoyl-GPC (20:4n6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.590587779307259,-0.156660650997014,FALSE
OGTT,1-arachidonoyl-GPE (20:4n6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.000414023168095595,-0.253579796877555,FALSE
OGTT,1-arachidonoyl-GPI (20:4)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.161270800712805,-0.220568431693319,FALSE
OGTT,1-arachidonylglycerol (20:4),Metabolon HD4 [nt-ms],Lipid,Monoacylglycerol,0.236227788811162,-0.374622034802243,FALSE
OGTT,1-arachidoyl-GPC (20:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.783691246526561,0.0315172224400766,FALSE
OGTT,1-behenoyl-GPC (22:0),Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.964911335852481,-0.0192418334271917,FALSE
OGTT,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.561755508298438,-0.139482430303387,FALSE
OGTT,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.0111396369955823,-0.254822784635317,FALSE
OGTT,1-dihomo-linoleoyl-GPC (20:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.681746311562289,0.130691745904504,FALSE
OGTT,1-docosahexaenoyl-GPC (22:6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.769077363716574,-0.251738598054737,FALSE
OGTT,1-docosahexaenoyl-GPE (22:6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.00397179760908727,-0.245800547393802,FALSE
OGTT,1-docosapentaenoyl-GPC (22:5n3)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.428558664617707,-0.146419033428315,FALSE
OGTT,1-docosapentaenoyl-GPC (22:5n6)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.490561251712756,-0.264366368064962,FALSE
OGTT,1-eicosapentaenoyl-GPC (20:5)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,0.399441219159759,-0.00826316313190152,FALSE
