metabolite,platform_name,challenge,time_point,variance_log2fc
12-hete,Metabolon HD4 [nt-ms],Fasting,0,0
12-hete,Metabolon HD4 [nt-ms],Fasting,120,0.243110127757748
12-hete,Metabolon HD4 [nt-ms],Fasting,240,0.184988247794805
12-hete,Metabolon HD4 [nt-ms],Fasting,360,0.364371977493368
12-hete,Metabolon HD4 [nt-ms],Fasting,480,0.438307880824754
12-hete,Metabolon HD4 [nt-ms],Fasting,600,0.615068242517668
12-hete,Metabolon HD4 [nt-ms],Fasting,720,0.79754410392419
12-hete,Metabolon HD4 [nt-ms],Fasting,840,0.820929177366727
12-hete,Metabolon HD4 [nt-ms],Fasting,960,1.01726298943681
12-hete,Metabolon HD4 [nt-ms],Fasting,1920,5.7463395163576
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,0,0
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,120,0.564234011997834
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,240,0.771832077286061
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,360,0.995846617479293
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,480,1.20160782382182
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,600,1.2796347272181
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,720,1.43547088787503
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,840,1.70028633332586
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,960,1.72177425254723
13-hode + 9-hode,Metabolon HD4 [nt-ms],Fasting,1920,7.29004750251693
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,0,0
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,120,0.055857987351166
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,240,0.0776366480342941
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,360,0.123871275572969
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,480,0.493060729750415
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,600,0.633909628490016
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,720,0.801139894158954
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,840,1.00568713751468
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,960,2.30067619481048
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Fasting,1920,3.29497551216603
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,0,0
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,120,0.426959938742007
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,240,0.832466894380753
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,360,1.25969926861611
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,480,2.3928693019741
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,600,1.60596863671871
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,720,4.05091393048317
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,840,2.46265026599771
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,960,2.44327542636915
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Fasting,1920,2.44035967507325
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,0,0
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,120,0.0308793596550028
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,240,0.0590259670568999
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,360,0.0964873879726187
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,480,0.0771224842082246
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,600,0.149249640687457
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,720,0.21252192945983
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,840,0.332357724596957
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,960,0.499121441292154
2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,1920,0.844604095513772
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,0,0
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,120,0.43104270953342
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,240,1.01321465889211
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,360,1.46104965596058
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,480,2.16845636107238
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,600,2.63476864011903
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,720,2.9172692965777
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,840,3.15889506040409
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,960,3.28280670314951
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Fasting,1920,3.56874546843798
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,0,0
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,120,0.0726328978152263
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,240,0.186551859028913
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,360,0.208050435027277
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,480,0.247743450624393
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,600,0.162234938501086
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,720,0.255383991009306
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,840,0.330900132487955
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,960,0.541321346603534
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Fasting,1920,1.84126636954948
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Fasting,0,0
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Fasting,120,0.0268082944908254
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Fasting,240,0.0451442337394466
