metabolite,platform,super_pathway,sub_pathway,Significant_Any_Challenge,significant_OGTT,significant_OLTT,significant_SLD,significant_OGTT_OLTT,significant_OGTT_SLD,significant_OLTT_SLD,significant_OGTT_OLTT_SLD
1-linoleoyl-GPE (18:2)*,Metabolon HD4 [nt-ms],Lipid,Lysolipid,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3-aminoisobutyrate,Metabolon HD4 [nt-ms],Nucleotide,"Pyrimidine Metabolism, Thymine containing",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3-hydroxylaurate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3-hydroxymyristate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3-hydroxypyridine sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
