super_pathway,sub_pathway,challenge,metabolite,platform_name,abs_log2_foldchange,neg_log10_p_value,type
Amino Acids,"Glycine, Serine and Threonine Metabolism",Fasting,o-acetylhomoserine,Metabolon HD4 [nt-ms],3.65664098856637,49.5768294681281,Top by |log2 foldchange|
Amino Acids,"Glycine, Serine and Threonine Metabolism",Fasting,o-acetylhomoserine,Metabolon HD4 [nt-ms],3.60664003580699,49.5768294681281,Top by |log2 foldchange|
Amino Acids,"Glycine, Serine and Threonine Metabolism",Fasting,o-acetylhomoserine,Metabolon HD4 [nt-ms],3.51214239790174,49.5768294681281,Top by |log2 foldchange|
Energy,TCA Cycle,PAT,fumarate,Metabolon HD4 [nt-ms],3.35342651509667,19.8698408472845,Top by |log2 foldchange|
Lipids,Primary Bile Acid Metabolism,OLTT,taurocholate,Metabolon HD4 [nt-ms],2.97552129539576,19.5845055248967,Top by |log2 foldchange|
Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",PAT,hypoxanthine,Metabolon HD4 [nt-ms],2.8778745493289,35.9754146081194,Top by |log2 foldchange|
Lipids,"Fatty Acid, Monohydroxy",OLTT,2-hydroxydecanoate,Metabolon HD4 [nt-ms],2.8078889820629,23.3986053409244,Top by |log2 foldchange|
Lipids,Secondary Bile Acid Metabolism,OLTT,glycolithocholate,Metabolon HD4 [nt-ms],2.74712469686737,21.7299779999343,Top by |log2 foldchange|
Lipids,"Fatty Acid, Monohydroxy",OLTT,2-hydroxydecanoate,Metabolon HD4 [nt-ms],2.57744772473915,23.3986053409244,Top by |log2 foldchange|
Lipids,"Fatty Acid, Monohydroxy",OLTT,2-hydroxydecanoate,Metabolon HD4 [nt-ms],2.42564924404284,23.3986053409244,Top by |log2 foldchange|
Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",OLTT,glucose,Metabolon HD4 [nt-ms],2.36312794783656,17.7096246635988,Top by |log2 foldchange|
Amino Acids,"Leucine, Isoleucine and Valine Metabolism",OLTT,isovalerylglycine,Metabolon HD4 [nt-ms],2.36278227218253,20.6319936296171,Top by |log2 foldchange|
Carbohydrates,"Fructose, Mannose and Galactose Metabolism",OLTT,fructose,Metabolon HD4 [nt-ms],2.33100110050863,8.09580508243196,Top by |log2 foldchange|
