super_pathway,sub_pathway,challenge,metabolite,platform_name,abs_log2_foldchange,neg_log10_p_value,type
Amino Acids,"Glycine, Serine and Threonine Metabolism",Fasting,o-acetylhomoserine,Metabolon HD4 [nt-ms],2.1279074676464,49.5768294681281,Top by -log10(p_value)
Amino Acids,"Glycine, Serine and Threonine Metabolism",Fasting,o-acetylhomoserine,Metabolon HD4 [nt-ms],1.17363542253352,49.5768294681281,Top by -log10(p_value)
Amino Acids,"Glycine, Serine and Threonine Metabolism",Fasting,o-acetylhomoserine,Metabolon HD4 [nt-ms],0,49.5768294681281,Top by -log10(p_value)
Amino Acids,Urea cycle; Arginine and Proline Metabolism,OLTT,arginine,Metabolon HD4 [nt-ms],0.0912522124014475,45.1540022671053,Top by -log10(p_value)
Amino Acids,Urea cycle; Arginine and Proline Metabolism,OLTT,arginine,Metabolon HD4 [nt-ms],0.0434433211872419,45.1540022671053,Top by -log10(p_value)
Amino Acids,Urea cycle; Arginine and Proline Metabolism,OLTT,arginine,Metabolon HD4 [nt-ms],0,45.1540022671053,Top by -log10(p_value)
Lipids,Lysolipid,OLTT,2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],0.579167643988473,43.5981235329872,Top by -log10(p_value)
Lipids,Lysolipid,OLTT,2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],0.521118281387278,43.5981235329872,Top by -log10(p_value)
Lipids,Lysolipid,OLTT,2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],0,43.5981235329872,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",PAT,hypoxanthine,Metabolon HD4 [nt-ms],1.98291840724564,35.9754146081194,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",PAT,hypoxanthine,Metabolon HD4 [nt-ms],0.53108222049381,35.9754146081194,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",PAT,hypoxanthine,Metabolon HD4 [nt-ms],0,35.9754146081194,Top by -log10(p_value)
