metabolite,platform_name,super_pathway,sub_pathway,significant_any_challenge,significant_fasting_pat_oltt,true_count,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,0,Fasting,1.41106237641505,0,0.0017709432999441,2.75179534333595,0
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,120,Fasting,0.86855791218802,-0.542504464227025,0.0017709432999441,2.75179534333595,0.542504464227025
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,240,Fasting,0.297882395772377,-1.11317998064267,0.0017709432999441,2.75179534333595,1.11317998064267
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,360,Fasting,0.186041763109368,-1.22502061330568,0.0017709432999441,2.75179534333595,1.22502061330568
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,480,Fasting,0.345540276712966,-1.06552209970208,0.0017709432999441,2.75179534333595,1.06552209970208
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,600,Fasting,0.124771784732388,-1.28629059168266,0.0017709432999441,2.75179534333595,1.28629059168266
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,720,Fasting,0.0208318413574884,-1.39023053505756,0.0017709432999441,2.75179534333595,1.39023053505756
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,840,Fasting,-0.0348904644590448,-1.44595284087409,0.0017709432999441,2.75179534333595,1.44595284087409
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,960,Fasting,-0.123762234198724,-1.53482461061377,0.0017709432999441,2.75179534333595,1.53482461061377
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,TRUE,FALSE,1,1920,Fasting,-0.31303340039876,-1.72409577681381,0.0017709432999441,2.75179534333595,1.72409577681381
